objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1225428","1246021","FCC: Antenna Structure Registration (GIS)","5/8/2012","36.7446","-82.7956","","US Hwy 23","Duffield","VA","","51","169","461.942932","84.4","","5","","","New Cingular Wireless PCS, LLC","","","","","","","","","","","","","","","","",""
"1225423","1245617","FCC: Antenna Structure Registration (GIS)","5/8/2012","36.6419","-82.744","","STATE ROAD 629","DUFFIELD","VA","","51","169","481.274658","83.8","","5","","","New Cingular Wireless PCS, LLC","","","","","","","","","","","","","","","","",""
"1225422","1245613","FCC: Antenna Structure Registration (GIS)","5/8/2012","36.7054","-82.7815","","County Road 873","Fraleyton","VA","","51","169","568.673889","85.6","","5","","","New Cingular Wireless PCS, LLC","","","","","","","","","","","","","","","","",""
"1224414","1040990","FCC: Antenna Structure Registration (GIS)","4/10/2002","36.6408","-82.595","","T839 ROAD","GATE CITY","VA","","51","169","613.356323","88.4","","5","","","SBA TOWERS INC","","","","","","","","","","","","","","","","",""
"1225337","1240776","FCC: Antenna Structure Registration (GIS)","3/3/2008","36.7147","-82.802","","119 Fraley Ave.","Duffield","VA","","51","169","433.838928","91.4","","5","","","SBA Towers II LLC","","","","","","","","","","","","","","","","",""
"1246988","","Virginia Municipal League","2/28/2014","36.6418458","-82.58330857","","Poplar Street","Gate City","VA","24251","51","169","1549.539791","","Poplar Street Reservoir Tank - 150,000 Gal","","","","Gate City, Town of","","","","","","","","","","","","","","","","",""
"1246992","","Virginia Municipal League","2/28/2014","36.63803775","-82.58943639","","Quillen Heights","Gate City","VA","24251","51","169","1553.586474","","Wantan Tank - 50,000 Gallons","","","","Gate City, Town of","","","","","","","","","","","","","","","","",""
"1223637","1014561","FCC: Antenna Structure Registration (GIS)","2/26/1997","36.6331","-82.5822","","FROM BUS US 23 TAKE HORTON ST 1150 FT S OF US 23","GATE CITY","VA","","51","169","444.314514","45.1","","5","","","TRI CITIES BROADCASTING CORPORATION  DBA =  WGAT RADIO","","","","","","","","","","","","","","","","",""
"1225249","1236055","FCC: Antenna Structure Registration (GIS)","2/24/2009","36.5948","-82.5715","","120 Texas Street","Weber City","VA","","51","169","399.912567","91.4","","5","","","Alltel Communications, LLC","","","","","","","","","","","","","","","","",""
"1225389","1243963","FCC: Antenna Structure Registration (GIS)","2/1/2011","36.7086","-82.8817","","RR 1, Box 190 Panoramic Lane","Duffield","VA","","51","169","778.695434","76.2","","5","","","Alltel Communications, LLC","","","","","","","","","","","","","","","","",""
"1225242","1235479","FCC: Antenna Structure Registration (GIS)","2/1/2011","36.6088","-82.523","","13906 E. CARTERS VALLELY ROAD","GATE CITY","VA","","51","169","523.59552","76.2","","5","","","CROWN COMMUNICATION LLC","","","","","","","","","","","","","","","","",""
"1224698","1063273","FCC: Antenna Structure Registration (GIS)","2/1/2011","36.6426","-82.6825","","ROUTE 643","GATE CITY","VA","","51","169","556.237121","76.2","","5","","","CROWN COMMUNICATION LLC","","","","","","","","","","","","","","","","",""
"1225045","1223318","FCC: Antenna Structure Registration (GIS)","11/21/2003","36.6341","-82.44","","Route 1, Box 298-A","Hilton","VA","","51","169","468.610687","75.6","","5","","","SBA Towers, Inc.","","","","","","","","","","","","","","","","",""
"1224580","1056784","FCC: Antenna Structure Registration (GIS)","10/5/1998","36.7078","-82.792","",".28 MILES SOUTH OF INTERSECTING HIGHWAYS 59/421 &amp; 23","DUFFIELD","VA","","51","169","402.069488","68.5","","5","","","DUFFIELD BROADCASTING COMPANY","","","","","","","","","","","","","","","","",""
