OBJECTID,SUBDIVISIO,HANSENID,SHAPEarea,SHAPElen
1,BLOSSOM HILL ESTATES,513,183930.760487518,1983.13892885212
2,PUNGO RIDGE COMMONS,529,578219.318033588,3607.71766494196
3,BRIDLEWOOD,051,364970.631316873,2511.48069617125
4,COURTHOUSE ESTATES,527,2567288.4542475,8197.90624055467
5,HERON RIDGE ESTATES,612,2680990.57513474,8871.0783606463
6,FOX FIRE,388,1044336.00498947,4969.8432143471
7,PRINCESS ANNE PLACE,489,140627.164405528,1679.12072111435
8,RIVER OAKS,648,645968.499027062,3497.6551826388
9,INDIAN RIVER FARMS,643,319394.839766742,2331.98450908078
10,DEWBERRY FARM,654,171475.258847998,1723.97467301827
11,MORGANS WALKE,665,100772.258960011,1450.45586694771
12,HIGHLAND MEADOWS,660,156531.893973706,1815.10354492213
13,HILLCREST FARMS,533,808856.566589036,5088.22739804618
14,NEW CASTLE,532,421842.412380168,3343.70782358633
15,BELLWOOD ESTATES,387,414966.564190852,2895.93521600774
16,ADAMS GLEN,285,76172.0115222707,1378.72392181622
17,BENTLEY PARK,632,424827.057549762,2705.03776367371
18,GLENWOOD GREEN,447,42219.3584568462,949.554630525315
19,WYNDAMERE,492,259609.377261965,2184.66924121186
20,SALEM LAKES,302,1156236.46953237,5184.30563395073
21,ROCK CREEK,393,1089009.99026706,5648.15195686313
22,SEABOARD FOREST,636,62889.488934531,1106.72954318983
23,HIGHGATE GREENS,534,655270.303265666,3604.02293431451
24,THREE OAKS,538,891374.38744201,4422.9274781977
25,HIGHGATE CROSSING,607,76221.8985017993,1150.83003468866
26,BELLAMY PLANTATION,411,423226.390769488,4187.00369683854
27,GLENWOOD,382,5028468.81038934,15540.1983719454
28,WOODBRIDGE POINTE,621,891030.74648453,4084.48615832932
29,CHARLESTOWN,074,615344.659712721,4405.23519557516
30,ALEXANDRIA,391,1387610.16430026,6374.35470893365
31,CHARLESTOWN LAKES,075,1016342.12110646,4249.9735974652
32,COURT HOUSE FOREST,094,209453.439133773,2162.43217163903
33,LITCHFIELD MANOR,606,163170.972436252,1946.28696442118
34,ROLLINGWOOD,633,225427.079893035,2171.72424377895
35,HOLLAND WOODS,540,134422.862586582,1576.36827255243
36,PRINCESS ANNE CROSSING,498,183090.210935441,2214.25135544738
37,CHRISTOPHER FARM,467,756289.590605645,3663.09521623659
38,HOLLAND PINES,517,1036124.96972273,4753.50754950177
39,HOLLAND OAKS,528,178320.605008572,2056.91381636603
40,WOODS OF PINEY GROVE,506,239238.896339078,2673.05545433805
41,LANDSTOWN MEADOWS,399,852373.243346792,4718.50911713113
42,LANDSTOWN LAKES,405,742237.226324178,3816.663102797
43,GREENWOOD,618,120513.324578882,1358.74855649129
44,PARKSIDE GREEN,547,165502.128790714,2406.02672770761
45,PRINCESS ANNE WOODS,646,415246.121967822,2894.01445778326
46,SOUTHGATE,537,991384.369419661,4693.22902414064
47,COLLEGE PARK,089,1244876.01867996,6731.23317250522
48,LEVEL GREEN,204,1244898.80858413,7894.35014103308
49,PINEWOOD VILLAGE,545,142787.410929947,1969.53808117632
50,WOODHAVEN,370,99982.000514635,1368.10314993945
51,BRANDON,047,1096171.09709982,5499.31192038936
52,CARRIAGE MILL,512,106212.167852304,1301.89488944337
53,LAKE JAMES,181,1160236.09591606,5098.91911680158
54,BRIGADOON,052,1495068.19090904,9238.02536556897
55,LAKE CHRISTOPHER,180,1029474.97939865,5107.5445898775
56,BRIGADOON PINES,054,1002140.05002471,5365.36289240128
57,ROSEMONT FOREST,299,2029508.9289271,6520.13380495637
58,KEMPS QUARTER,266,31670.5500552937,729.264624993071
59,ACREDALE,001,919961.547177723,4696.80589376556
60,SALEM WOODS,306,2248600.15803154,6704.06139701533
61,BELLAMY WOODS,406,711545.475121983,4104.09305376599
62,BELLAMY MANOR,026,1557704.59488921,8729.12456551667
63,STRATFORD CHASE,002,973036.77762911,5233.24253309555
64,BELLAMY MANOR ESTATES,028,1115192.28470772,7438.77258563932
65,INDIAN LAKES,160,3946408.08954418,13758.3130775217
66,SANDBRIDGE,308,2265941.8361683,15206.7785989585
67,LAGOMAR,178,3526604.72088629,10885.0929882264
68,HUNT CLUB WEST,414,60437.4952771731,1046.08276906779
69,STRAWBRIDGE,402,538912.831402994,3407.45792920679
70,COLONY ACRES,091,128490.211518456,1569.86657238289
71,LAKE PLACID,183,1289189.96875491,5676.14541707375
72,CASTLETON,601,2031689.876982,6036.14026165646
73,MIDDLE OAKS PLANTATION,483,236465.072658661,2643.00037945201
74,PINE RIDGE,277,604413.75624978,3483.6435566843
75,SPARROW POINT,321,51961.1076594684,953.322314362466
76,ELIZABETH RIVER TERRACE,115,353223.868816712,3176.3268256594
77,BALLYLINN FARM,017,131928.905868196,1524.68654129043
78,JONATHANS COVE,602,71363.4055876658,1157.13816849186
79,LE COVE,203,309684.565097896,3144.74409085334
80,ELIZABETH RIVER SHORES,114,285338.19325557,2480.79205785225
81,MACDONALD PARK,233,334339.754542935,4385.65409378605
82,KINGS CREEK POINT,448,88536.6553044914,1419.61061186052
83,SHERRY PARK,316,554565.34696428,3252.62315186982
84,QUEEN CITY,292,60534.9004772812,1008.53546767967
85,INDIAN RIVER ESTATES,161,85994.6685718887,1337.00592347523
86,INDIAN RIVER GARDENS,162,58728.5356369443,984.154305334955
87,KNOB HILL,176,111655.404867643,1412.04719323571
88,WESTVIEW VILLAGE,356,253547.543885307,2037.2368558901
89,PROVIDENCE LANDING,289,70306.6219422945,1132.87285219504
90,WOODSTOCK,374,329538.023527307,3214.36022314275
91,LAKEVILLE ESTATES,192,842576.233819137,5604.24388521171
92,LAKEVIEW ESTATES,189,56870.5063252982,988.034975034201
93,WOODSTOCK COVE,375,441060.10533979,3199.34689556117
94,WOODS OF AVALON,373,571341.855173242,6701.67835354673
95,AVALON HILLS,014,262770.656575595,2766.61986913092
96,CEDAR HILL,073,484134.639259376,4300.73969207881
97,HOMESTEAD,154,488954.928531887,3203.90911994276
98,HAVEN HEIGHTS,145,214658.522851641,2105.32768395298
99,WHITEHURST GROVE,400,224526.348927045,2492.28774857468
100,WHITEHURST MANOR,677,32889.0467799968,730.617463190961
101,HAVEN ESTATES,144,145338.84738331,1568.5523485563
102,BIRNAM WOODS,039,183804.959288442,1800.60903697301
103,CHATHAM HALL,081,690812.867890295,4466.5155721864
104,FAIRFIELD FOREST,121,244289.42901639,2556.45290277908
105,AVALON TERRACE,015,1388411.139917,8641.71608072437
106,OAKUM CREEK ESTATES,690,124535.772596147,1442.99864296665
107,CHARITY FARMS,656,193931.972905085,1951.06896266694
108,INDIAN RIVER WOODS,657,71858.0494639889,1134.25407229275
109,HIGHLAND ACRES,661,537897.217302351,3826.09275120966
110,HILLCREST MEADOWS,655,50283.3957083991,1026.11407307496
111,SALEM ACRES,670,138828.907080228,1988.55638492772
112,HIDDEN OAKS,603,92506.6920047813,1480.17570573731
113,FERRY POINT LANDING,522,17656.6240585611,552.521943047885
114,WINCHESTER POINT,443,36535.7084791782,764.363922270333
115,BELLAMY MANOR EAST,027,78832.2920252793,1143.29910079053
116,BACK BAY MEADOWS,016,751409.699299418,4895.46609994265
117,BALLYLINN SHORES,018,128706.83338466,1591.70409928812
118,THOMPKINS LANDING,599,49213.7093635406,1398.67296960216
119,SUSANNA SMITH ESTATE,326,20629.2356812564,608.164238737437
120,BIRNAM MEADOWS,038,20806.966760801,595.898926969402
121,WHITEHURST WOODS,507,42256.868251973,859.061031210587
122,STONEY BROOK,566,26248.4771553127,1316.46631815207
123,FAIRFIELD SHORES,454,106761.884662531,1470.58902222479
124,ARROWHEAD,012,1636411.6823411,5962.90019879542
125,FAIRFIELD MEADOWS,122,36235.457445861,779.895680789406
126,FAIRFIELD,120,1931613.2985425,7359.53551750576
127,KEMPSVILLE COLONY,164,416571.354573647,2831.69441264609
128,CAROLANNE FARMS,068,1567778.85941488,7964.32952205462
129,HUNTINGTON,157,478249.978277546,4325.36736741213
130,RIDGLEA,297,202691.536843685,1822.64881735357
131,PARLIAMENT VILLAGE,520,187720.247414529,1693.79767059362
132,KEMPSHIRE MANOR,617,65820.5305906942,1076.87894501454
133,POINT O VIEW,281,613360.57686812,4252.23881066212
134,OAKENGATE,249,54618.1444438494,1044.44619655059
135,KEMPSVILLE HEIGHTS,166,579747.251447132,3151.5761699938
136,CULVER ACRES,468,44466.7583070232,913.547835376302
137,GUNN HALL MANOR,142,109373.733381735,1627.3037524134
138,WATERS EDGE,546,131576.000278303,1671.25925701271
139,PINE MEADOWS,383,1299313.95822393,4931.34624853397
