OBJECTID,FLD_ZONE,STATIC_BFE,DEPTH,ShapeSTArea
1001,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,159404.944426
1002,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,1829.409897
1003,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,7139.44326
1004,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,1363.813178
1005,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,299113.156257
1006,X,-9999,-9999,41625.043933
1007,X,-9999,-9999,2762.464075
1008,X,-9999,-9999,5611.402585
1009,AE,8.1,-9999,114337.520452
1010,X,-9999,-9999,203551.307126
1011,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,715243.834298
1012,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,6642.24503
1013,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,4042.851685
1014,X,-9999,-9999,1312.08152
1015,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,73400.589989
1016,X,-9999,-9999,5990.286833
1017,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,2080.125977
1018,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,2449.869818
1019,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,1584.895204
1020,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,2407.006063
1021,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,58993.083337
1022,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,3769.445162
1023,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,7610959.815892
1024,X,-9999,-9999,3100.618752
1025,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,2681.968398
1026,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,41615.314229
1027,X,-9999,-9999,27208.411334
1028,AE,7.6,-9999,13064.910466
1029,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,7363.478006
1030,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,104971.916088
1031,X,-9999,-9999,12751.812218
1032,X,-9999,-9999,735863.186339
1033,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,67162.647259
1034,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,118025.308325
1035,X,-9999,-9999,14592.633293
1036,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,3365.345528
1037,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,1874.027064
1038,X,-9999,-9999,4414.798619
1039,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,50786.045666
1040,X,-9999,-9999,16225.637044
1041,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,5467.706834
1042,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,1263.246155
1043,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,2223.849515
1044,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,2158.212183
1045,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,8228.441313
1046,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,1115.208979
1047,AE,7.6,-9999,1784.423832
1048,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-9999,-9999,7180.364979
1049,AE,7.6,-9999,518668.910686
