OBJECTID,Gaz_ID,Area_Acres,Area_SqKm,States,LoadDate,HUC_12,HU_12_Name,HU_12_Type,HU_12_Mod,NContrb_Acres,NContrb_SqKm,Watershed,INTID,VAHU5,VAHU6,META_ID,PACRES_ID,Editor,DateModify,Creator,DateCreated,ShapeSTArea,ShapeSTLength
5,,25149,101.77512486,VA,2013-01-18T07:09:06.000Z,020802030305,Opossum Creek-James River,S,NM,0,0,Opossum Creek-James River,597,JM-C,JM11,,,,,,,1095402705.39781,188190.004973084
6,,23946,96.90669506,VA,2013-01-18T07:09:06.000Z,020802030303,Cheese Creek-Ivy Creek,S,NM,0,0,Cheese Creek-Ivy Creek,598,JM-C,JM09,,,,,,,1042992266.63535,179033.280519493
7,,17965,72.70351228,VA,2013-01-18T07:09:06.000Z,020802030304,Blackwater Creek,S,NM,0,0,Blackwater Creek,617,JM-C,JM10,,,,,,,782504633.729918,161825.776409965
8,,21316,86.2648057,VA,2013-01-18T07:09:06.000Z,020802030301,Judith Creek-James River,S,NM,0,0,Judith Creek-James River,563,JM-C,JM07,,,,,,,928465459.894,168429.15643874
