X,Y,OBJECTID_1,OBJECTID,FIRESTATIO,FIRESTAT_1,FIRE_STATI,FSTATION_,FSTATION_I,STATION_NO,ZONECAR,Engine,Ladder,Medic,Rescue,Battalion
-76.259361745463011,36.948990341272484,1,1,2,1,11,11,8,13,N,E13,L13,M13,,
-76.235843572937185,36.933148835041941,2,2,3,8,1,1,12,15,Y,E15,,M15,,
-76.200771699149712,36.918535053397186,3,3,4,6,5,5,10,16,N,E16,,M16,,
-76.307066795245092,36.916256417839726,4,4,5,9,2,2,11,12,N,E12,,M12,,
-76.275162611345664,36.905930882259163,5,5,6,2,8,8,5,9,N,E09,L09,M09,,BC02
-76.2274943315808,36.892811216827056,6,6,7,14,10,10,9,14,N,E14,L14,M14,RS02,BC03
-76.30291216096856,36.882991742452177,7,7,8,3,6,6,13,7,N,E07,L07,M07,RS01,
-76.256354703774747,36.875175651088227,8,8,9,7,4,4,7,11,N,E11,,M11,,
-76.280242095494572,36.869545788713118,9,9,10,4,3,3,2,2,N,E02,,M02,,
-76.301620038642383,36.85955858817524,10,10,11,10,14,14,15,6,Y,E06,,,,
-76.232038976729271,36.856557802442758,12,12,13,11,9,9,6,10,N,E10,L10,M10,,
-76.284541795665803,36.85122865063893,13,13,14,12,13,13,1,1,N,E01,L01,M01,,BC01
-76.201910942198836,36.849451503258749,14,14,15,13,12,12,14,4,N,E04,,M04,,
-76.280194029763308,36.832354718661058,15,15,16,15,7,7,4,8,N,E08,L08,M08,,
