OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA,SHAPEarea,SHAPElen
39,Baker Park,1468152253,City,NP,Neighborhood Parks,2.487,Bayside,15757.390738988,698.55520808574
40,Lake Smith Fishing Station, ,City,SUWA,Special Use ? Water Access sites,0.196,Bayside,1242.13663394141,169.944064278149
41,Lake Smith Fishing Station,1469527421,City,SUWA,Special Use ? Water Access sites,0.1163,Bayside,737.296717725011,115.479639056154
42,Lake Smith Fishing Station,1469524277,City,SUWA,Special Use ? Water Access sites,0.6997,Bayside,4435.10630324594,306.529706847579
43,Lake Smith Fishing Station,1469523280,City,SUWA,Special Use ? Water Access sites,1.0551,Bayside,6688.19004704147,435.331426910635
44,Lake Smith Fishing Station,1469525130,City,SUWA,Special Use ? Water Access sites,0.0525,Bayside,332.897511538529,92.1732254565798
45,Lake Smith Fishing Station,1469526306,City,SUWA,Special Use ? Water Access sites,0.6287,Bayside,3985.06602348386,362.730744437619
46,Pembroke Manor Parcel 3, ,City,GOS,General Open Space sites,1.9924,Bayside,12617.0027731359,814.5809202762
47,Pembroke Manor Parcel 2, ,City,GOS,General Open Space sites,3.3328,Bayside,21103.7605397488,1195.41894122009
48,Pembroke Manor Parcel 1, ,City,GOS,General Open Space sites,2.5853,Bayside,16370.2340992477,1027.82078060205
49,Diamond Springs Park,1469263476,City,NP,Neighborhood Parks,14.4013,Bayside,91313.254524568,6433.89559539749
50,Northridge Park,1467775862,City,NP,Neighborhood Parks,1.627,Bayside,10302.5456939833,707.088057360234
51,Pembroke Manor Parcel 4, ,City,GOS,General Open Space sites,1.5658,Bayside,9915.47061485401,652.94617851558
52,Pembroke Manor Parcel 5, ,City,GOS,General Open Space sites,1.3683,Bayside,8666.0432606052,593.105317451956
53,Pembroke Manor Parcel 6, ,City,GOS,General Open Space sites,1.4821,Bayside,9386.74430450403,623.536849091268
54,Pembroke Manor Parcel 7,1478502477,City,GOS,General Open Space sites,0.1724,Bayside,1091.98992738596,129.438618326528
55,Margate Ave. Park, ,City,NP,Neighborhood Parks,0.2239,Bayside,1418.10499163934,180.083847473789
56,Lake Smith Fishing Station,1469529638,City,SUWA,Special Use ? Water Access sites,4.5162,Bayside,28628.5171164222,970.520038125371
57,Lake Smith Fishing Station,1469527035,City,SUWA,Special Use ? Water Access sites,8.5364,Bayside,54110.4083785349,2277.03251009951
58,"Lake Lawson Parcel ""A""",1469318348,City,GOS,General Open Space sites,5.1906,Bayside,32900.5231931079,858.723978591207
59,"Lake Lawson Parcel ""B""",1469319048,City,GOS,General Open Space sites,1.5052,Bayside,9540.27038071327,620.785876173799
60,Green Hill Park,1499667246,City,NP,Neighborhood Parks,1.0898,Great Neck,6909.68186810064,351.751765560148
61,Chelsea Park,1499745570,City,NP,Neighborhood Parks,0.9393,Great Neck,5954.68009887804,517.877035317093
