"ILOP"|"Ilex opaca"|"American holly"||||||0||"662964:969674"|"662964:1395075"
"ACRU"|"Acer rubrum"|"red maple"||||||0||"662964:969674"|"662964:1395076"
"QUPA2"|"Quercus palustris"|"pin oak"|||85|||57||"662964:969674"|"662964:1395077"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|||83|||72||"662964:969675"|"662964:1395078"
"PIVI2"|"Pinus virginiana"|"Virginia pine"|||80|||114||"662964:969675"|"662964:1395079"
"QUFA"|"Quercus falcata"|"southern red oak"|||80|||57||"662964:969675"|"662964:1395080"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|||83|||72||"662964:969676"|"662964:1395081"
"PIVI2"|"Pinus virginiana"|"Virginia pine"|||80|||114||"662964:969676"|"662964:1395082"
"QUFA"|"Quercus falcata"|"southern red oak"|||80|||57||"662964:969676"|"662964:1395083"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|||90|||86||"662964:969677"|"662964:1395090"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|||70|||114||"662964:969677"|"662964:1395091"
"QUVE"|"Quercus velutina"|"black oak"|||80|||57||"662964:969677"|"662964:1395092"
"PIVI2"|"Pinus virginiana"|"Virginia pine"|||75|||114||"662964:969677"|"662964:1395093"
"CARYA"|"Carya"|"hickory"|||75|||0||"662964:969678"|"662964:1395094"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|||87|||86||"662964:969678"|"662964:1395095"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|||70|||114||"662964:969678"|"662964:1395096"
"PIVI2"|"Pinus virginiana"|"Virginia pine"|||70|||114||"662964:969678"|"662964:1395097"
"QUAL"|"Quercus alba"|"white oak"|||75|||57||"662964:969678"|"662964:1395098"
"ACRU"|"Acer rubrum"|"red maple"||||||0||"662964:969678"|"662964:1395099"
"QUVE"|"Quercus velutina"|"black oak"|||78|||57||"662964:969678"|"662964:1395100"
"QUAL"|"Quercus alba"|"white oak"|||75|||57||"662964:969679"|"662964:1395101"
"QUVE"|"Quercus velutina"|"black oak"|||78|||57||"662964:969679"|"662964:1395102"
"PIVI2"|"Pinus virginiana"|"Virginia pine"|||70|||114||"662964:969679"|"662964:1395103"
"ACRU"|"Acer rubrum"|"red maple"||||||0||"662964:969679"|"662964:1395104"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|||70|||114||"662964:969679"|"662964:1395105"
"CARYA"|"Carya"|"hickory"|||75|||0||"662964:969679"|"662964:1395106"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|||87|||86||"662964:969679"|"662964:1395107"
"CARYA"|"Carya"|"hickory"|||75|||0||"662964:969680"|"662964:1395108"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|||87|||86||"662964:969680"|"662964:1395109"
"ACRU"|"Acer rubrum"|"red maple"||||||0||"662964:969680"|"662964:1395110"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|||70|||114||"662964:969680"|"662964:1395111"
"QUVE"|"Quercus velutina"|"black oak"|||78|||57||"662964:969680"|"662964:1395112"
"PIVI2"|"Pinus virginiana"|"Virginia pine"|||70|||114||"662964:969680"|"662964:1395113"
"QUAL"|"Quercus alba"|"white oak"|||75|||57||"662964:969680"|"662964:1395114"
"ACRU"|"Acer rubrum"|"red maple"|||60|||43||"662964:969681"|"662964:1395119"
"PLOC"|"Platanus occidentalis"|"American sycamore"|||60|||43||"662964:969681"|"662964:1395120"
