OBJECTID,DISTRICT,WEB_ADDRESS,NAME
19,2,http://virginiageneralassembly.gov/house/members/members.php?id=H0260,MICHAEL T. FUTRELL
20,13,http://virginiageneralassembly.gov/house/members/members.php?id=H0057,ROBERT G. MARSHALL
21,34,http://virginiageneralassembly.gov/house/members/members.php?id=H0271,KATHLEEN J. MURPHY
22,35,http://virginiageneralassembly.gov/house/members/members.php?id=H0221,MARK L. KEAM
23,36,http://virginiageneralassembly.gov/house/members/members.php?id=H0076,KENNETH R. PLUM
24,37,http://virginiageneralassembly.gov/house/members/members.php?id=H0177,DAVID L. BULOVA
25,38,http://virginiageneralassembly.gov/house/members/members.php?id=H0222,KAYE KORY
26,39,http://virginiageneralassembly.gov/house/members/members.php?id=H0108,VIVIAN E. WATTS
27,40,http://virginiageneralassembly.gov/house/members/members.php?id=H0162,TIMOTHY D. HUGO
28,41,http://virginiageneralassembly.gov/house/members/members.php?id=H0229,EILEEN FILLER-CORN
29,42,http://virginiageneralassembly.gov/house/members/members.php?id=H0002,DAVID B. ALBO
30,43,http://virginiageneralassembly.gov/house/members/members.php?id=H0172,MARK D. SICKLES
31,44,http://virginiageneralassembly.gov/house/members/members.php?id=H0226,SCOTT A. SUROVELL
32,45,http://virginiageneralassembly.gov/house/members/members.php?id=H0250,K. ROBERT KRUPICKA JR.
33,46,http://virginiageneralassembly.gov/house/members/members.php?id=H0208,CHARNIELE L. HERRING
34,47,http://virginiageneralassembly.gov/house/members/members.php?id=H0219,PATRICK A. HOPE
35,48,http://virginiageneralassembly.gov/house/members/members.php?id=H0269,RICHARD C. SULLIVAN JR.
36,49,http://virginiageneralassembly.gov/house/members/members.php?id=H0239,ALFONSO H. LOPEZ
37,51,http://virginiageneralassembly.gov/house/members/members.php?id=H0210,RICHARD L. ANDERSON
38,52,http://virginiageneralassembly.gov/house/members/members.php?id=H0227,LUKE E. TORIAN
39,53,http://virginiageneralassembly.gov/house/members/members.php?id=H0264,MARCUS B. SIMON
40,67,http://virginiageneralassembly.gov/house/members/members.php?id=H0223,JAMES M. LEMUNYON
41,86,http://virginiageneralassembly.gov/house/members/members.php?id=H0157,THOMAS DAVIS RUST
42,87,http://virginiageneralassembly.gov/house/members/members.php?id=H0243,DAVID I. RAMADAN
