X,Y,OBJECTID,GIS_ID,GeoID,WmataID,TageoID,ArtID,MetroBus,ArtBus,LunchLoopBus,GeorgeBus,Shelter,Label,TransferPt,STOP_ID,Platform_Tag,TimePt,Snow_Priority,Regional_ID
-77.102445,38.882014,1088,2152, , , ,A41033,0,1,0,0,1,AS,0,A41033,1077,0,1,6001252
-77.087103,38.8397,2718,2230,,,,A75031,0,1,0,0,0,A,1,A75031,1112,1,1,6001270
-77.111571,38.881357,1064,2120,Q99998, , , ,1,0,0,0,1,MS,0, ,0,0,1,
-77.087502,38.839285,1089,2156, , , , ,1,0,0,0,0,M,0, ,0,0,1,
-77.087502,38.8392,1090,2154, , , , ,1,0,0,0,0,M,0, ,0,0,1,
-77.087372,38.839311,1091,2153, , , , ,1,0,0,0,0,M,0, ,0,0,1,
-77.059192,38.862696,1012,2029,13535, , , ,1,0,0,0,1,MS,0, ,0,0,1,6000790
-77.092599,38.864816,1075,2107,3614,12132,12132,A41217,1,1,0,0,1,MAS,0,A41217,262,0,1,6000265
-77.092872,38.865518,1076,2108,3667,12131,12131,A41009,1,1,0,0,1,MAS,0,A41009,265,0,1,6000278
-77.100217,38.869996,1008,2025,3892,12123,12123,A41214,1,1,0,0,1,MAS,0,A41214,284,1,1,6000342
-77.099997,38.870176,1007,2024,3895, ,12122,A41014,1,1,0,0,1,MAS,0,A41014,283,1,1,6000345
-77.123856,38.897724,1070,2096,5677,12087,12087, ,1,0,0,0,1,MS,0, ,0,0,1,6000748
-77.051416,38.848132,1086,2150, , , , ,1,0,0,0,0,M,0, ,0,0,2,
-77.106368,38.866904,1005,2022,3740, ,14523, ,1,0,0,0,0,M,0, ,0,0,2,6000298
-77.106871,38.867095,1006,2023,3755, ,14524, ,1,0,0,0,0,M,0, ,0,0,2,6000303
-77.086864,38.862038,1029,2046,14069, , ,A77012,1,1,0,0,0,MA,0,A77012,1009,0,2,6000811
-77.106398,38.842074,1031,2048,14267, , , ,1,0,0,0,0,M,0, ,0,0,2,6000886
-77.089518,38.8531,1022,2039,14306, , ,A74015,1,1,0,0,0,MA,1,A74015,553,1,2,6000903
-77.10412,38.842807,1030,2047,2404, ,14963, ,1,0,0,0,0,M,0, ,0,0,2,6000042
-77.082901,38.872861,2310,2220, , , ,A45001,0,1,0,0,1,AS,0,A45001,1099,1,2,6001273
-77.095285,38.846633,2716,2228,,,,A75026,0,1,0,0,0,A,0,A75026,1107,0,2,6001268
-77.095582,38.846658,2720,2232,,,,A75136,0,1,0,0,0,A,0,A75134,1116,0,2,6001263
-77.088285,38.857178,1021,2038,3160, , ,A77206,1,1,0,0,0,MA,0,A77206,997,0,2,6000185
-77.093227,38.884873,2304,2215, , , ,A42222,0,1,0,0,0,A,0,A42222,1015,0,2,6000564
-77.086939,38.862888,1028,2045,3510, , ,A77017,1,1,0,0,0,MA,0,A77017,1010,0,2,6000247
-77.107462,38.882347,2723,2235,,,,A75138,0,1,0,0,0,A,0,A75138,1120,0,1,6001272
-77.087168,38.863921,1026,2043,3552, ,14119,A77013,1,1,0,0,0,MA,0,A77013,1011,0,2,6000253
-77.087714,38.868152,2305,2216, , , ,A77217,0,1,0,0,0,A,0,A77217,1076,0,3,6001257
-77.087528,38.864414,1027,2044,3593, ,14118,A77202,1,1,0,0,0,MA,0,A77202,993,0,2,6000261
-77.087529,38.865652,1024,2041,3671, ,14116,A77014,1,1,0,0,0,MA,0,A77014,1012,0,2,6000280
-77.083384,38.868837,2306,2217, , , ,A77218,0,1,0,0,0,A,0,A77218,1078,0,3,6001256
-77.087873,38.866046,1025,2042,3697, ,14117,A77201,1,1,0,0,0,MA,0,A77201,992,0,2,6000284
-77.08305,38.868671,2307,2218, , , ,A77018,0,1,0,0,0,A,0,A77018,1079,0,3,6001255
-77.087859,38.867482,1023,2040,3768, , ,A77015,1,1,0,0,0,MA,0,A77015,985,0,2,6000306
-77.096186,38.845347,1072,2099,2542,10850,10850,A77215,1,1,0,0,0,MA,0,A77215,1002,0,2,6000065
-77.074667,38.865547,2308,2219, , , ,A74025,0,1,0,0,0,A,0,A74025,1084,0,3,6001258
-77.085579,38.843759,1035,2052,14068, , , ,1,0,0,0,0,M,0, ,0,0,2,6000810
-77.111912,38.846768,2713,2225,,,,A75022,0,1,0,0,0,A,0,A75022,1103,0,3,6001259
-77.085515,38.844539,1036,2053,14072, , , ,1,0,0,0,0,M,0, ,0,0,2,
-77.137428,38.883177,1048,2065,14441, , , ,1,0,0,0,0,M,0, ,0,0,2,6000924
-77.10904,38.845693,2714,2226,,,,A75023,0,1,0,0,0,A,0,A75023,1104,0,3,6001261
-77.084427,38.875666,1039,2056,4207, ,14154,A42014,1,1,0,0,0,MA,0,A42014,817,0,2,6000427
-77.104932,38.843128,2715,2227,,,,A75024,0,1,0,0,0,A,0,A75024,1105,0,3,6001262
-77.085283,38.87661,1050,2067,4268, ,14155,A42215,1,1,0,0,0,MA,0,A42215,571,0,2,6000441
-77.086433,38.877446,1040,2057,4316, , ,A42216,1,1,0,0,0,MA,0,A42216,572,0,2,6000450
-77.088881,38.840687,2717,2229,,,,A75030,0,1,0,0,0,A,0,A75030,1111,0,3,6001269
-77.090886,38.881212,1038,2055,4518, , ,A42010,0,1,0,0,0,A,0,A42010,559,0,2,6000516
-77.104642,38.843029,2721,2233,,,,A75136,0,1,0,0,0,A,0,A75136,1118,0,3,6001263
-77.13185,38.884016,1042,2059,4668, ,14195, ,1,0,0,0,0,M,0, ,0,0,2,6000553
-77.129903,38.884423,1041,2058,4689, ,14193, ,1,0,0,0,0,M,0, ,0,0,2,6000555
-77.111612,38.846767,2722,2234,,,,A75137,0,1,0,0,0,A,0,A75137,1119,0,3,6001260
-77.102966,38.882478,2711,2224,,,,A75139,0,1,0,0,0,A,0,A75139,1102,1,1,6001267
