X,Y,OBJECTID,Rotation,GISID
-77.089837,38.837946,1,243,101
-77.09823,38.843472,2,226,102
-77.101969,38.84433,3,335,103
-77.09468,38.847582,4,28,104
-77.094039,38.848414,5,28,105
-77.109773,38.851287,6,220,106
-77.109195,38.855338,7,110,107
-77.11189,38.857599,8,329,108
-77.064699,38.870617,9,258,109
-77.146479,38.875583,13,206,113
-77.115691,38.88801,16,252,116
-77.119435,38.867396,10,189,110
-77.132534,38.879636,11,85,111
-77.150892,38.883672,14,292,114
-77.142358,38.87581,12,200,112
-77.152953,38.884181,15,112,115
-77.113366,38.896082,20,355,120
-77.112694,38.888814,17,252,117
-77.110647,38.889466,18,72,118
-77.088419,38.888446,22,354,122
-77.09861,38.89624,21,280,121
-77.080175,38.895582,23,78,123
-77.112998,38.891135,19,355,119
-77.077563,38.898675,25,252,125
-77.074804,38.896323,24,264,124
-77.158527,38.899811,27,70,127
-77.101626,38.90044,26,106,126
-77.146893,38.902164,28,282,128
-77.148982,38.906448,29,250,129
-77.146651,38.907069,30,250,130
-77.112929,38.910177,31,142,131
-77.113938,38.911977,32,322,132
-77.119432,38.918149,33,156,133
-77.120614,38.920764,34,344,134
-77.115692,38.90866,35,228,135
-77.123648,38.904635,37,242,137
-77.118013,38.906643,36,230,136
-77.120381,38.928379,38,258,138
-77.119991,38.862491,39,328,139
-77.120075,38.864158,40,212,140
-77.06926,38.853144,42,90,142
-77.072412,38.853148,41,90,141
-77.119199,38.928602,43,254,143
-77.124001,38.867975,44,0,144
-77.131838,38.909054,45,149,145
-77.081117,38.890632,46,318,146
