SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,# OF BOAT SLIPS,# OF CAR PARKING SPACES,# OF CB USING SITE,# OF HB USING SITE,# OF RAMPS,# OF TRAILER PARKING SPACES,BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SHORE AREA,SHORE MODE,TACKLE SHOPS
177,,SMITH BEACH PRIVATE RAMP,15532 Smith Beach Rd.,EASTVILLE,,131,NORTHAMPTON,51,VA,37.22062,-75.59106,,,Active,,0,0,0,0,1,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
178,,MORLEY''S WHARF LANDING,2101 Morleys Wharf Rd.,WARDTOWN,,131,NORTHAMPTON,51,VA,37.32985,-75.52588,,,Active,,0,20,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
204,,CAPE CHARLES MUNICIPAL MARINA,23100 Marina Rd.,CAPE CHARLES,,131,NORTHAMPTON,51,VA,37.15895,-76.1021,SMITTY,7573312357,Active,,117,20,2,0,4,30,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
212,,COUNTY RAMP @ OYSTER HARBOR,21123 Crumb Hill Rd.,OYSTER,,131,NORTHAMPTON,51,VA,37.17348,-75.55404,,,Active,,0,25,0,0,3,25,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,BOTH,N/A,NO
302,,KIPTOPEKE STATE PARK,3201 Kiptopeke Dr.,CAPE CHARLES,,131,NORTHAMPTON,51,VA,37.10026,-75.59257,RANGER STATION,7573312267,Active,,0,85,0,0,2,90,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,INLAND,BOTH,YES
311,,NATURE CONSERVANCY DOCK,21199 Sunnyside Rd.,OYSTER,,131,NORTHAMPTON,51,VA,37.17277,-75.55288,,7574423049,Retired,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
349,,BAYFORD OYSTER CO,5368 Bayford Rd.,BAYFORD,,131,NORTHAMPTON,51,VA,37.28573,-75.56091,,,Active,,2,5,0,0,1,3,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
427,,WISE POINTBOAT RAMP,5471 Ramp Ln.,WISE POINT,,131,NORTHAMPTON,51,VA,37.767,-75.57038,,,Active,,0,21,0,0,2,40,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
981,,CHERRYSTONE CAMPGROUND,1716 Townfield Dr.,CHERITON,,131,NORTHAMPTON,51,VA,37.16969,-76.6352,TACKLE SHOP,7573313740,Active,,0,30,0,1,1,30,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,INLAND,MAN-MADE,YES
982,,WILLIS WHARF PUBLIC DOCK & RAMPS,4825 Willis Wharf Rd.,WILLIS WHARF,,131,NORTHAMPTON,51,VA,37.30542,-75.48372,,,Active,,40,20,0,0,2,20,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
983,,RED BANK LANDING (GAME COMM RAMP),9306 Red Bank Ct.,NASSAWADOX,,131,NORTHAMPTON,51,VA,37.26748,-75.50381,,,Active,,0,12,0,0,2,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
3208,,CAPE CHARLES MUNICIPAL PIER,,CAPE CHARLES,23310,131,NORTHAMPTON,51,VA,37.26697,-76.02333,,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,INLAND,BOTH,NO
12,,KRENTZ MARINE,3048 Harryhogan Rd,Callao,22435,133,NORTHUMBERLAND,51,VA,38.386,-76.32636,E MASTERS KRENTZ,8045296800,Active,,40,2,0,0,1,0,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
937,,HILTON PIER,225 River Road,NEWPORT NEWS,23601,700,CITY OF NEWPORT NEWS,51,VA,37.1702,-76.27919,,7579261400,Active,,0,10,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
995,,JAMES RIVER FISHING PIER,6701 River Road,JAMES RIVER BRIDG,23607,700,CITY OF NEWPORT NEWS,51,VA,37.814,-76.27368,BOBBY WHARTON,7577153071,Retired,Y,0,100,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,INLAND,MAN-MADE,YES
1804,,MENCHVILLE MARINA,494B Menchville Rd,MENCHVILLE,,700,CITY OF NEWPORT NEWS,51,VA,37.4959,-76.31499,Lonell Coffen,7578749853,Active,,11,10,0,0,1,10,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
81,,COBBS MARINA & RAMP,4524 Dunning Rd.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.553,-76.11303,NANCY & WARREN COBB,7575885401,Active,,95,20,0,0,0,20,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NA,N/A,YES
153,,BAYPOINT-LITTLE CREEK MARINA,4801 Pretty Lake Ave.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.5544,-76.1113,DOCKMASTER,7573623600,Active,,300,50,5,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NA,N/A,YES
214,,CUTTY SARK BOAT BASIN,4707 Pretty Lake Ave.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.55497,-76.11198,J CAMPBELL,7575889644,Active,,100,50,0,0,0,0,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
254,,VINNING MARINA (TAYLOR''S LANDING MARI,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.55456,-76.11461,GORDON STILLWELL,7575878000,Active,,221,100,8,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NA,N/A,YES
346,,EAST BEACH MARINA,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.55501,-76.11323,,7573625000,Active,,150,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
354,,LAFAYETTE RIVER BRIDGE,101 Willow Wood Dr.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.532,-76.16833,,,Retired,,0,0,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
426,,WILLOUGHBY HARBOR MARINA,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.57951,-76.17702,,7575834150,Active,,270,100,0,3,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
437,,OCEANVIEW PIER,414 W. Oceanview Ave.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.57613,-76.15663,RONNY BOONE,7575836000,Active,,0,100,0,1,0,0,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,BOTH,BOTH,YES
944,,HAVEN CREEK BOAT RAMP,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.53066,-76.1705,,,Active,,0,15,0,0,1,20,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NA,N/A,NO
949,,WILLOUGHBY PUBLIC BOAT RAMP,9600 13th View St.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36.57888,-76.17313,,,Active,,0,30,0,0,4,50,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
14,,POQUOSON PUBLIC BOAT RAMP,380 Messick Rd,BACK RIVER,,735,CITY OF POQUOSON,51,VA,37.665,-76.19161,,,Active,,10,20,0,0,4,40,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
59,,WHITEHOUSE COVE MARINA (POQUOSON MARI,115 Rens Rd,POQUOSON,,735,CITY OF POQUOSON,51,VA,37.8503,-76.22544,CRAIG BROWN,7575082602,Active,,50,60,0,0,1,20,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NA,N/A,YES
999,,OWEN''S MARINA,259 Mingee St,POQUOSON,,735,CITY OF POQUOSON,51,VA,37.8738,-76.22505,HOLT BELLAMY,7578688407,Active,,50,20,0,0,1,20,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,INLAND,N/A,NO
1,,CITY PARK RAMP,126 City Park Ave.,PORTSMOUTH,,740,CITY OF PORTSMOUTH,51,VA,36.50055,-76.223,,,Active,,0,20,0,0,3,100,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
246,,BENNETTS CREEK PARK & PUBLIC LANDING,Bennetts Creek Park Rd.,SUFFOLK,,800,CITY OF SUFFOLK,51,VA,36.51061,-76.29047,ED SHERMAN,7574843984,Active,,0,17,0,0,3,30,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
6,,CAPTAIN''S COVE,3342 Dock Ct.,GREENBACKVILLE,,1,ACCOMACK,51,VA,37.59337,-75.2514,BOB WILCOX,7578243465,Active,,90,80,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
7,,ANCHOR INN,3775 S. Main St.,CHINCOTEAGUE,,1,ACCOMACK,51,VA,37.55855,-75.23016,RICHARD CONKLIN,7573366313,Active,,9,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NA,N/A,NO
9,,SNUG HARBOR MOTEL,7536 East Side Rd.,CHINCOTEAGUE,,1,ACCOMACK,51,VA,37.55025,-75.22422,JOHN SHIELDS,7573366176,Active,,0,20,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,INLAND,N/A,YES
24,,WACHAPREAGUE MARINA AND RESTURANT( RA,17 Atlantic Ave.,WACHAPREAGUE,,1,ACCOMACK,51,VA,37.36216,-75.41285,Pete Walsh,7577874110,Active,,63,20,7,0,1,10,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
25,,WACHAPREAGUE TOWN MARINA,41 Atlantic Ave.,WACHAPREAGUE,,1,ACCOMACK,51,VA,37.36431,-75.41223,SADIE PUCHALSKI,7577871930,Active,,40,40,3,0,2,40,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,INLAND,N/A,NO
27,,PUBLIC LANDING-ASSATEAGUE CHANNEL,7682 East Side Rd.,CHINCOTEAGUE,,1,ACCOMACK,51,VA,37.55071,-75.22304,Wayne Merritt,,Active,,0,6,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NA,N/A,NO
30,,ONANCOCK PUBLIC RAMP,2 King St.,ONANCOCK,23417,1,ACCOMACK,51,VA,37.42697,-75.45308,Chuck Herron,7577877911,Active,,20,30,0,0,1,12,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
36,,CHINCOTEAGUE MEMORIAL PARK RAMP,7414 Memorial Park Dr.,CHINCOTEAGUE,,1,ACCOMACK,51,VA,37.5499,-75.22875,,,Active,,0,50,0,0,1,12,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,INLAND,MAN-MADE,NO
37,,CHINCOTEAGUE TOWN DOCK,4035 Main St.,CHINCOTEAGUE,,1,ACCOMACK,51,VA,37.56027,-75.22751,,,Active,,0,20,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,INLAND,MAN-MADE,NO
39,,CURTIS MERRITT HARBOR OF REFUGE,2301 Curtis Merritt Harbor Rd.,CHINCOTEAGUE,,1,ACCOMACK,51,VA,37.54109,-75.24418,WAYNE MERRITT,7573366519,Active,,100,100,6,0,1,50,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
41,,THE HAMMOCK''S,10199 Hammocks Rd.,SAXIS,23426,1,ACCOMACK,51,VA,37.54245,-75.4099,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
57,,PARKER''S CREEK LANDING,27298 Fox Grove Rd.,PASTORIA,,1,ACCOMACK,51,VA,37.43687,-75.36512,,,Active,,0,10,0,0,1,5,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
58,,GARGATHA LANDING,29599 Gargatha Landing Rd.,GARGATHA,23421,1,ACCOMACK,51,VA,37.46498,-75.33698,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
61,,KEGOTANK LANDING,18297 Kegotank Rd.,MODEST TOWN,,1,ACCOMACK,51,VA,37.4722,-75.33713,,,Active,,0,2,0,0,1,9,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
68,,GREENBACKVILLE HARBOR,2001 Harbor Dr.,GREENBACKVILLE,,1,ACCOMACK,51,VA,38.4079,-75.23408,Bobby Wright,7578940637,Active,,100,50,3,0,2,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,INLAND,N/A,YES
69,,PITTS LANDING,5007 Bell Rd.,NEW CHURCH,23415,1,ACCOMACK,51,VA,37.58477,-75.37858,,,Retired,,0,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
115,,QUINIBY DOCK,20224 Harbor Point Rd.,QUINBY,,1,ACCOMACK,51,VA,37.32974,-75.43941,,,Active,,80,25,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
290,,CHESSONNESSEX PUBLIC RAMP,21328 Southside Rd.,ONANCOCK,23417,1,ACCOMACK,51,VA,37.45889,-75.46351,,,Active,,0,5,0,0,1,5,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
296,,SAXIS HARBOR AND RAMP,9103 Starling Creek Rd.,SAXIS,23359,1,ACCOMACK,51,VA,37.55144,-75.43656,,,Active,,80,30,0,0,1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
180,,COCKRELL''S MARINA & RAILWAY,309 Railway Dr,Heathsville,22473,133,NORTHUMBERLAND,51,VA,37.53956,-76.18154,ANDY COCKRELL,8044533560,Active,,40,50,2,0,0,50,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,INLAND,N/A,YES
181,,INGRAM BAY MARINA,545 Harveys Neck Rd,Heathville,22473,133,NORTHUMBERLAND,51,VA,37.48192,-76.18594,CAPTAIN BILL PIPKIN,8045807292,Active,,55,50,1,0,1,20,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NA,N/A,YES
182,,COAN RIVER MARINA,3170 Lake Rd,LOTTSBURG,22511,133,NORTHUMBERLAND,51,VA,37.58961,-76.28282,GARY GIEVERSON,8045296767,Active,,20,25,1,0,1,25,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,INLAND,N/A,NO
184,,BUZZARD PT MARINA,832 Buzzard Pt Rd,REEDVILLE,22539,133,NORTHUMBERLAND,51,VA,37.50556,-76.17249,EDWARD BOWIS,8044533545,Active,,55,50,2,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,INLAND,N/A,NO
185,,COOPER''S LANDING (VAGIF RAMP),Cooper's Landing Rd,HORSEHEAD,,133,NORTHUMBERLAND,51,VA,37.52289,-76.25158,,,Active,,0,2,0,0,1,1,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
264,,CRABBE''S CHARTER FISHING,53 Railway Dr,HEATHSVILLE,22473,133,NORTHUMBERLAND,51,VA,37.54129,-76.18014,CAPT DANNY CRABBE,8044533251,Active,,0,0,1,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NA,N/A,NO
465,,SMITH PT MARINA,989 Smith Pt Rd,REEDVILLE,22539,133,NORTHUMBERLAND,51,VA,37.53,-76.15,DAN HICKEY,8044534077,Active,,99,60,0,0,1,50,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,INLAND,N/A,YES
477,,OLVERSON MARINA / Lodge Creek Yacht Club,1161 Melrose Rd,LOTTSBURG,22511,133,NORTHUMBERLAND,51,VA,37.59848,-76.32456,FRED OLVERSON,8045295071,Active,,100,50,0,0,2,50,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,INLAND,N/A,YES
483,,LEWISETTA MARINA,410 Church Ln,Lottsburg,22511,133,NORTHUMBERLAND,51,VA,37.5977,-76.2785,HELEN SCZERBO,8045297299,Active,,28,10,1,0,1,20,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,INLAND,N/A,YES
950,,SHELL LANDING,184 Shell Landing Rd,FLEETON,22539,133,NORTHUMBERLAND,51,VA,37.49449,-76.16295,Va DGIF,,Active,,0,6,0,0,2,6,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
1857,,LODGE PUBLIC LANDING,199 Lodge Landing Rd,CALLAO,22435,133,NORTHUMBERLAND,51,VA,37.5959,-76.3242,VaDGIF,,Active,,0,5,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
3385,,GREAT WICOMICO FISHING PIER,3090 Jessie Dupont Hwy,WICOMOCO BLUFF,,133,NORTHUMBERLAND,51,VA,37.50708,-76.22112,,,Active,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
190,,WHELANS MARINA CAMPGROUNDS,3993 Hales Point Rd.,Farnham,22460,159,RICHMOND,51,VA,37.48,-76.38969,JOHN WHELAN,8043949500,Active,,40,100,1,0,2,100,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,INLAND,BEACH/BANK,YES
192,,CARTER''S WHARF (VAGIF RAMP),1899 Carters Wharf Rd,SINGERLY,,159,RICHMOND,51,VA,38.4275,-76.55412,,,Active,,0,20,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
193,,TOTUSKEY CREEK LANDING (VAGIF RAMP),Woodyard Rd,WARSAW,22572,159,RICHMOND,51,VA,37.55426,-76.43273,,,Active,,0,2,0,0,1,6,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
195,,VA DOT RAMP,99 Farnham LAnding Rd,FARNHAM,22572,159,RICHMOND,51,VA,37.50823,-76.39532,,,Active,,0,3,0,0,1,3,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
196,,SIMONSON LANDING (VAGIF RAMP),2710 Simonson Rd,Farnham,22460,159,RICHMOND,51,VA,37.48423,-76.3801,DGIF,,Active,,0,10,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
197,,NAYLORS POINT,4011  Naylors Beach Rd,WARSAW,22572,159,RICHMOND,51,VA,37.58669,-76.51762,,,Active,,0,40,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,INLAND,BEACH/BANK,NO
157,,HOG ISLAND REFUGE (NOT VEPCO PROP),Rt 650,BACONS CASTLE,,181,SURRY,51,VA,37.10485,-76.41781,JOHN RANDOLPH,,Active,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
159,,GRAYS CREEK MARINA,580 Marina Dr,SURRY,,181,SURRY,51,VA,37.1063,-76.4834,,,Retired,,0,20,0,0,1,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,INLAND,BOTH,NO
247,,BRADY''S MARINA,3624 Godwin Blvd.,SUFFOLK,,800,CITY OF SUFFOLK,51,VA,36.47466,-76.34533,MR. BRADY,7575399656,Active,,20,20,0,0,1,20,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
334,,GUARD SHORE,22401 Gaurd Shore Rd.,BLOXOM,23308,1,ACCOMACK,51,VA,37.50876,-75.40629,,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
363,,HARBORTON RAMP,Harborton Rd,PUNGOTEAGUE,,1,ACCOMACK,51,VA,37.3998,-75.49854,,,Active,,0,20,0,0,2,75,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
251,,BENNETS CREEK MARINA (HARBOR SIDE MAR,3305 Ferry Rd.,SUFFOLK,,800,CITY OF SUFFOLK,51,VA,36.51907,-76.28685,,7574848700,Active,,5,25,0,0,1,25,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
