SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,"# OF BOAT SLIPS","# OF CAR PARKING SPACES","# OF CB USING SITE","# OF HB USING SITE","# OF RAMPS","# OF TRAILER PARKING SPACES",BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SHORE AREA,SHORE MODE,TACKLE SHOPS
0033,,KINGS CREEK MARINA,2 Marina Village Cir.,CAPE CHARLES,23310,131,NORTHAMPTON,51,VA,37:	16.681,76:	0.681,JOE HABEL,7573318640,Active,,125,70,1,0,0,0,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NA,N/A,YES
0177,,SMITH BEACH PRIVATE RAMP,15532 Smith Beach Rd.,EASTVILLE,,131,NORTHAMPTON,51,VA,37:	22.062,75:	59.106,,,Active,,0,0,0,0,1,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0178,,MORLEY''S WHARF LANDING,2101 Morleys Wharf Rd.,WARDTOWN,,131,NORTHAMPTON,51,VA,37:	32.985,75:	52.588,,,Active,,0,20,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0204,,CAPE CHARLES MUNICIPAL MARINA,23100 Marina Rd.,CAPE CHARLES,,131,NORTHAMPTON,51,VA,37:	15.895,76:	1.021,SMITTY,7573312357,Active,,117,20,2,0,4,30,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
0212,,COUNTY RAMP @ OYSTER HARBOR,21123 Crumb Hill Rd.,OYSTER,,131,NORTHAMPTON,51,VA,37:	17.348,75:	55.404,,,Active,,0,25,0,0,3,25,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,BOTH,N/A,NO
0302,,KIPTOPEKE STATE PARK,3201 Kiptopeke Dr.,CAPE CHARLES,,131,NORTHAMPTON,51,VA,37:	10.026,75:	59.257,RANGER STATION,7573312267,Active,,0,85,0,0,2,90,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,INLAND,BOTH,YES
0311,,NATURE CONSERVANCY DOCK,21199 Sunnyside Rd.,OYSTER,,131,NORTHAMPTON,51,VA,37:	17.277,75:	55.288,,7574423049,Retired,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0349,,BAYFORD OYSTER CO,5368 Bayford Rd.,BAYFORD,,131,NORTHAMPTON,51,VA,37:	28.573,75:	56.091,,,Active,,2,5,0,0,1,3,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
0427,,WISE POINTBOAT RAMP,5471 Ramp Ln.,WISE POINT,,131,NORTHAMPTON,51,VA,37:	7.67,75:	57.038,,,Active,,0,21,0,0,2,40,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0981,,CHERRYSTONE CAMPGROUND,1716 Townfield Dr.,CHERITON,,131,NORTHAMPTON,51,VA,37:	16.969,76:	.6352,TACKLE SHOP,7573313740,Active,,0,30,0,1,1,30,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,INLAND,MAN-MADE,YES
0982,,WILLIS WHARF PUBLIC DOCK & RAMPS,4825 Willis Wharf Rd.,WILLIS WHARF,,131,NORTHAMPTON,51,VA,37:	30.542,75:	48.372,,,Active,,40,20,0,0,2,20,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0983,,RED BANK LANDING (GAME COMM RAMP),9306 Red Bank Ct.,NASSAWADOX,,131,NORTHAMPTON,51,VA,37:	26.748,75:	50.381,,,Active,,0,12,0,0,2,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
3208,,CAPE CHARLES MUNICIPAL PIER,,CAPE CHARLES,23310,131,NORTHAMPTON,51,VA,37:	26.697,76:	02.333,,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,INLAND,BOTH,NO
0012,,KRENTZ MARINE,3048 Harryhogan Rd,Callao,22435,133,NORTHUMBERLAND,51,VA,38:	.386,76:	32.636,E MASTERS KRENTZ,8045296800,Active,,40,2,0,0,1,0,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0937,,HILTON PIER,225 River Road,NEWPORT NEWS,23601,700,CITY OF NEWPORT NEWS,51,VA,37:	1.702,76:	27.919,,7579261400,Active,,0,10,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
0995,,JAMES RIVER FISHING PIER,6701 River Road,JAMES RIVER BRIDG,23607,700,CITY OF NEWPORT NEWS,51,VA,37:	.814,76:	27.368,BOBBY WHARTON,7577153071,Retired,Y,0,100,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,INLAND,MAN-MADE,YES
1804,,MENCHVILLE MARINA,494B Menchville Rd,MENCHVILLE,,700,CITY OF NEWPORT NEWS,51,VA,37:	4.959,76:	31.499,Lonell Coffen,7578749853,Active,,11,10,0,0,1,10,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0081,,COBBS MARINA & RAMP,4524 Dunning Rd.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	55.3,76:	11.303,NANCY & WARREN COBB,7575885401,Active,,95,20,0,0,0,20,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NA,N/A,YES
0153,,BAYPOINT-LITTLE CREEK MARINA,4801 Pretty Lake Ave.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	55.44,76:	11.13,DOCKMASTER,7573623600,Active,,300,50,5,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,NA,N/A,YES
0214,,CUTTY SARK BOAT BASIN,4707 Pretty Lake Ave.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	55.497,76:	11.198,J CAMPBELL,7575889644,Active,,100,50,0,0,0,0,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
0254,,VINNING MARINA (TAYLOR''S LANDING MARI,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	55.456,76:	11.461,GORDON STILLWELL,7575878000,Active,,221,100,8,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NA,N/A,YES
0346,,EAST BEACH MARINA,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	55.501,76:	11.323,,7573625000,Active,,150,50,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
0354,,LAFAYETTE RIVER BRIDGE,101 Willow Wood Dr.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	53.2,76:	16.833,,,Retired,,0,0,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0426,,WILLOUGHBY HARBOR MARINA,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	57.951,76:	17.702,,7575834150,Active,,270,100,0,3,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NA,N/A,NO
0437,,OCEANVIEW PIER,414 W. Oceanview Ave.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	57.613,76:	15.663,RONNY BOONE,7575836000,Active,,0,100,0,1,0,0,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,BOTH,BOTH,YES
0944,,HAVEN CREEK BOAT RAMP,,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	53.066,76:	17.05,,,Active,,0,15,0,0,1,20,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NA,N/A,NO
0949,,WILLOUGHBY PUBLIC BOAT RAMP,9600 13th View St.,NORFOLK,,710,CITY OF NORFOLK,51,VA,36:	57.888,76:	17.313,,,Active,,0,30,0,0,4,50,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
0014,,POQUOSON PUBLIC BOAT RAMP,380 Messick Rd,BACK RIVER,,735,CITY OF POQUOSON,51,VA,37:	6.65,76:	19.161,,,Active,,10,20,0,0,4,40,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
0059,,WHITEHOUSE COVE MARINA (POQUOSON MARI,115 Rens Rd,POQUOSON,,735,CITY OF POQUOSON,51,VA,37:	8.503,76:	22.544,CRAIG BROWN,7575082602,Active,,50,60,0,0,1,20,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NA,N/A,YES
0999,,OWEN''S MARINA,259 Mingee St,POQUOSON,,735,CITY OF POQUOSON,51,VA,37:	8.738,76:	22.505,HOLT BELLAMY,7578688407,Active,,50,20,0,0,1,20,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,INLAND,N/A,NO
0001,,CITY PARK RAMP,126 City Park Ave.,PORTSMOUTH,,740,CITY OF PORTSMOUTH,51,VA,36:	50.055,76:	22.3,,,Active,,0,20,0,0,3,100,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0246,,BENNETTS CREEK PARK & PUBLIC LANDING,Bennetts Creek Park Rd.,SUFFOLK,,800,CITY OF SUFFOLK,51,VA,36:	51.061,76:	29.047,ED SHERMAN,7574843984,Active,,0,17,0,0,3,30,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0006,,CAPTAIN''S COVE,3342 Dock Ct.,GREENBACKVILLE,,001,ACCOMACK,51,VA,37:	59.337,75:	25.14,BOB WILCOX,7578243465,Active,,90,80,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NA,N/A,NO
0007,,ANCHOR INN,3775 S. Main St.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	55.855,75:	23.016,RICHARD CONKLIN,7573366313,Active,,9,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NA,N/A,NO
0009,,SNUG HARBOR MOTEL,7536 East Side Rd.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	55.025,75:	22.422,JOHN SHIELDS,7573366176,Active,,0,20,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,INLAND,N/A,YES
0024,,WACHAPREAGUE MARINA AND RESTURANT( RA,17 Atlantic Ave.,WACHAPREAGUE,,001,ACCOMACK,51,VA,37:	36.216,75:	41.285,Pete Walsh,7577874110,Active,,63,20,7,0,1,10,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
0025,,WACHAPREAGUE TOWN MARINA,41 Atlantic Ave.,WACHAPREAGUE,,001,ACCOMACK,51,VA,37:	36.431,75:	41.223,SADIE PUCHALSKI,7577871930,Active,,40,40,3,0,2,40,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,INLAND,N/A,NO
0027,,PUBLIC LANDING-ASSATEAGUE CHANNEL,7682 East Side Rd.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	55.071,75:	22.304,Wayne Merritt,,Active,,0,6,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,NA,N/A,NO
0030,,ONANCOCK PUBLIC RAMP,2 King St.,ONANCOCK,23417,001,ACCOMACK,51,VA,37:	42.697,75:	45.308,Chuck Herron,7577877911,Active,,20,30,0,0,1,12,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
0036,,CHINCOTEAGUE MEMORIAL PARK RAMP,7414 Memorial Park Dr.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	54.99,75:	22.875,,,Active,,0,50,0,0,1,12,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,INLAND,MAN-MADE,NO
0037,,CHINCOTEAGUE TOWN DOCK,4035 Main St.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	56.027,75:	22.751,,,Active,,0,20,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,INLAND,MAN-MADE,NO
0039,,CURTIS MERRITT HARBOR OF REFUGE,2301 Curtis Merritt Harbor Rd.,CHINCOTEAGUE,,001,ACCOMACK,51,VA,37:	54.109,75:	24.418,WAYNE MERRITT,7573366519,Active,,100,100,6,0,1,50,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
0041,,THE HAMMOCK''S,10199 Hammocks Rd.,SAXIS,23426,001,ACCOMACK,51,VA,37:	54.245,75:	40.99,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0057,,PARKER''S CREEK LANDING,27298 Fox Grove Rd.,PASTORIA,,001,ACCOMACK,51,VA,37:	43.687,75:	36.512,,,Active,,0,10,0,0,1,5,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
0058,,GARGATHA LANDING,29599 Gargatha Landing Rd.,GARGATHA,23421,001,ACCOMACK,51,VA,37:	46.498,75:	33.698,,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0061,,KEGOTANK LANDING,18297 Kegotank Rd.,MODEST TOWN,,001,ACCOMACK,51,VA,37:	47.22,75:	33.713,,,Active,,0,2,0,0,1,9,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0068,,GREENBACKVILLE HARBOR,2001 Harbor Dr.,GREENBACKVILLE,,001,ACCOMACK,51,VA,38:	.4079,75:	23.408,Bobby Wright,7578940637,Active,,100,50,3,0,2,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,INLAND,N/A,YES
0069,,PITTS LANDING,5007 Bell Rd.,NEW CHURCH,23415,001,ACCOMACK,51,VA,37:	58.477,75:	37.858,,,Retired,,0,5,0,0,1,5,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0115,,QUINIBY DOCK,20224 Harbor Point Rd.,QUINBY,,001,ACCOMACK,51,VA,37:	32.974,75:	43.941,,,Active,,80,25,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,N/A,NO
0290,,CHESSONNESSEX PUBLIC RAMP,21328 Southside Rd.,ONANCOCK,23417,001,ACCOMACK,51,VA,37:	45.889,75:	46.351,,,Active,,0,5,0,0,1,5,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0296,,SAXIS HARBOR AND RAMP,9103 Starling Creek Rd.,SAXIS,23359,001,ACCOMACK,51,VA,37:	55.144,75:	43.656,,,Active,,80,30,0,0,1,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NA,N/A,YES
0180,,COCKRELL''S MARINA & RAILWAY,309 Railway Dr,Heathsville,22473,133,NORTHUMBERLAND,51,VA,37:	53.956,76:	18.154,ANDY COCKRELL,8044533560,Active,,40,50,2,0,0,50,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,INLAND,N/A,YES
0181,,INGRAM BAY MARINA,545 Harveys Neck Rd,Heathville,22473,133,NORTHUMBERLAND,51,VA,37:	48.192,76:	18.594,CAPTAIN BILL PIPKIN,8045807292,Active,,55,50,1,0,1,20,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NA,N/A,YES
0182,,COAN RIVER MARINA,3170 Lake Rd,LOTTSBURG,22511,133,NORTHUMBERLAND,51,VA,37:	58.961,76:	28.282,GARY GIEVERSON,8045296767,Active,,20,25,1,0,1,25,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,INLAND,N/A,NO
0184,,BUZZARD PT MARINA,832 Buzzard Pt Rd,REEDVILLE,22539,133,NORTHUMBERLAND,51,VA,37:	50.556,76:	17.249,EDWARD BOWIS,8044533545,Active,,55,50,2,0,0,0,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,INLAND,N/A,NO
0185,,COOPER''S LANDING (VAGIF RAMP),Cooper's Landing Rd,HORSEHEAD,,133,NORTHUMBERLAND,51,VA,37:	52.289,76:	25.158,,,Active,,0,2,0,0,1,1,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0264,,CRABBE''S CHARTER FISHING,53 Railway Dr,HEATHSVILLE,22473,133,NORTHUMBERLAND,51,VA,37:	54.129,76:	18.014,CAPT DANNY CRABBE,8044533251,Active,,0,0,1,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NA,N/A,NO
0465,,SMITH PT MARINA,989 Smith Pt Rd,REEDVILLE,22539,133,NORTHUMBERLAND,51,VA,37:	53,76:	15,DAN HICKEY,8044534077,Active,,99,60,0,0,1,50,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,INLAND,N/A,YES
0477,,OLVERSON MARINA / Lodge Creek Yacht Club,1161 Melrose Rd,LOTTSBURG,22511,133,NORTHUMBERLAND,51,VA,37:	59.848,76:	32.456,FRED OLVERSON,8045295071,Active,,100,50,0,0,2,50,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,INLAND,N/A,YES
0483,,LEWISETTA MARINA,410 Church Ln,Lottsburg,22511,133,NORTHUMBERLAND,51,VA,37:	59.77,76:	27.85,HELEN SCZERBO,8045297299,Active,,28,10,1,0,1,20,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,INLAND,N/A,YES
0950,,SHELL LANDING,184 Shell Landing Rd,FLEETON,22539,133,NORTHUMBERLAND,51,VA,37:	49.449,76:	16.295,Va DGIF,,Active,,0,6,0,0,2,6,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
1857,,LODGE PUBLIC LANDING,199 Lodge Landing Rd,CALLAO,22435,133,NORTHUMBERLAND,51,VA,37:	59.59,76:	32.42,VaDGIF,,Active,,0,5,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
3385,,GREAT WICOMICO FISHING PIER,3090 Jessie Dupont Hwy,WICOMOCO BLUFF,,133,NORTHUMBERLAND,51,VA,37:	50.708,76:	22.112,,,Active,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
0190,,WHELANS MARINA CAMPGROUNDS,3993 Hales Point Rd.,Farnham,22460,159,RICHMOND,51,VA,37:	48,76:	38.969,JOHN WHELAN,8043949500,Active,,40,100,1,0,2,100,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,INLAND,BEACH/BANK,YES
0192,,CARTER''S WHARF (VAGIF RAMP),1899 Carters Wharf Rd,SINGERLY,,159,RICHMOND,51,VA,38:	4.275,76:	55.412,,,Active,,0,20,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0193,,TOTUSKEY CREEK LANDING (VAGIF RAMP),Woodyard Rd,WARSAW,22572,159,RICHMOND,51,VA,37:	55.426,76:	43.273,,,Active,,0,2,0,0,1,6,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
0195,,VA DOT RAMP,99 Farnham LAnding Rd,FARNHAM,22572,159,RICHMOND,51,VA,37:	50.823,76:	39.532,,,Active,,0,3,0,0,1,3,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,N/A,NO
0196,,SIMONSON LANDING (VAGIF RAMP),2710 Simonson Rd,Farnham,22460,159,RICHMOND,51,VA,37:	48.423,76:	38.010,DGIF,,Active,,0,10,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0197,,NAYLORS POINT,4011  Naylors Beach Rd,WARSAW,22572,159,RICHMOND,51,VA,37:	58.669,76:	51.762,,,Active,,0,40,0,0,1,10,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,INLAND,BEACH/BANK,NO
0157,,HOG ISLAND REFUGE (NOT VEPCO PROP),Rt 650,BACONS CASTLE,,181,SURRY,51,VA,37:	10.485,76:	41.781,JOHN RANDOLPH,,Active,,0,10,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
0159,,GRAYS CREEK MARINA,580 Marina Dr,SURRY,,181,SURRY,51,VA,37:	10.63,76:	48.34,,,Retired,,0,20,0,0,1,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,INLAND,BOTH,NO
0247,,BRADY''S MARINA,3624 Godwin Blvd.,SUFFOLK,,800,CITY OF SUFFOLK,51,VA,36:	47.466,76:	34.533,MR. BRADY,7575399656,Active,,20,20,0,0,1,20,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,N/A,NO
0334,,GUARD SHORE,22401 Gaurd Shore Rd.,BLOXOM,23308,001,ACCOMACK,51,VA,37:	50.876,75:	40.629,,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
