name,styleUrl,styleHash,description,lon,lat
Area--Eastern Shore,#icon-961-7C3592,-57b51561,"Objects relating to Eastern Shore, including Cape Charles and Wallops Island.Click to View Museum Collections (http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--eastern%20shore)",-75.973206,37.278424
Area--Jamestown,#icon-961-7C3592,-57b51561,Objects relating to Jamestown.,-76.760101,37.205722
Area--Newport News,#icon-961-7C3592,-57b51561,Objects relating to the current City of Newport News.Click to View Museum Collections (http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--newport%20news%20%28city%20of%29),-76.415749,36.978421
Area--Norfolk,#icon-961-7C3592,-57b51561,Objects relating to the current City of Norfolk.Click to View Museum Collections (http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--norfolk),-76.290157,36.851097
Area--Portsmouth,#icon-961-7C3592,-57b51561,Museum Collections:<br>http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--portsmouth,-76.300735,36.838416
Area--Richmond,#icon-961-7C3592,-57b51561,"Objects relating to the current greater Richmond area, including neighboring counties.Click to View Museum Collections (http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--richmond)",-77.436275,37.539439
Area--Smithfield/Isle of Wight,#icon-961-7C3592,-57b51561,Click to View Museum Collections (http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--smithfield/isle%20of%20wight),-76.631098,36.982878
Area--Surry,#icon-961-7C3592,-57b51561,Click to View Museum Collections (http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--surry),-76.769714,37.149919
Area--Virginia Beach,#icon-961-7C3592,-57b51561,Objects relating to the current City of Virginia Beach.,-75.976295,36.841713
Area--Williamsburg,#icon-961-7C3592,-57b51561,Objects relating to the greater Williamsburg area.,-76.704826,37.270877
Area--Yorktown,#icon-961-7C3592,-57b51561,"Objects relating to Yorktown, York County, and Poquoson.<br><br>Museum Collections:<br>http://hampton.pastperfect-online.com/36184cgi/mweb.exe?request=clicksearch;dtype=d;subset=0;_t1104=area--yorktown",-76.509089,37.236
