FID,ORDINANCE,ZONING,AMENDMENT
1, ,POS, 
2, ,RC, 
3, ,RA, 
4, ,OCH, 
5, ,RB, 
6, ,CG, 
7, ,POS, 
8, ,CG, 
10, ,OCM(100), 
13, ,RB, 
9, ,RA, 
11, ,POS, 
12, ,RB, 
16,4310,CDD #6, 
19, ,R20, 
18, ,R12, 
14, ,CG, 
20, ,I, 
21, ,RB, 
24, ,CL, 
23, ,RA, 
22, ,RC, 
25, ,OCM(100), 
26, ,CRMU/H, 
28, ,RC, 
29, ,R8, 
15, ,CDD #10, 
30, ,RT, 
32, ,CL, 
31,4310,CG, 
27, ,POS, 
33, ,POS, 
34, ,RB, 
17, ,WPR, 
35, ,RA, 
36, ,POS, 
37, ,RB, 
38, ,OCM(100), 
41, ,POS, 
40, ,CSL, 
42, ,RB, 
39, ,RA, 
45, ,OCM(100), 
44, ,R12, 
43, ,RA, 
46, ,CSL, 
48, ,R8, 
47, ,RB, 
49, ,RC, 
50, ,CL, 
51, ,POS, 
52, ,R2-5, 
54, ,POS, 
53, ,RA, 
55, ,CDD #5, 
56, ,RA, 
57, ,UT, 
58, ,RB, 
59, ,POS, 
61, ,CL, 
60, ,RC, 
62, ,POS, 
65, ,CRMU/M, 
63, ,R12, 
64, ,RB, 
66, ,RB, 
67, ,RA, 
68, ,POS, 
71, ,RB, 
69, ,RC, 
72, ,POS, 
73, ,R12, 
74, ,R2-5, 
70, ,CDD #4, 
75, ,POS, 
76, ,POS, 
77, ,RB, 
79, ,OCM(50), 
78, ,POS, 
80, ,RB, 
81, ,POS, 
82, ,R12, 
84, ,UT, 
85, ,RB, 
83, ,R12, 
86, ,POS, 
87, ,RB, 
89, ,RA, 
88, ,RB, 
90, ,R8, 
93, ,R2-5, 
91, ,R12, 
92, ,POS, 
94, ,RB, 
95, ,OC, 
96, ,CL, 
97, ,UT, 
99, ,POS, 
98,4244,R8, 
101, ,RB, 
100, ,CL, 
103, ,CG, 
102, ,POS, 
104, ,CG, 
105, ,POS, 
106, ,OCH, 
107,4294& 4643,CDD #11, 
108, ,R2-5, 
109, ,UT, 
110, ,OC, 
111, ,CG, 
112, ,RC, 
113, ,CDD #9, 
115, ,OCM(50), 
114, ,CRMU/L, 
117,4324,R12, 
116, ,CD, 
119, ,POS, 
120,4235,CSL, 
118, ,CSL, 
121, ,RB, 
122, ,W-1, 
126, ,POS, 
124, ,R8, 
127, ,RB, 
123, ,R12, 
125, ,RB, 
129, ,CSL, 
128, ,OCM(100), 
132, ,POS, 
131,4294,CDD #2, 
130, ,R20, 
133,4324,POS, 
136, ,RC, 
135, ,CL, 
134, ,CL, 
137, ,RA, 
139, ,RCX, 
138, ,RB, 
141, ,RC, 
140, ,RB, 
142, ,OCH, 
144, ,R12, 
143, ,R5, 
145, ,OCH, 
146, ,POS, 
147, ,RB, 
148, ,WPR, 
149,4235,RB, 
150, ,RA, 
151, ,POS, 
153, ,POS, 
154, ,I, 
152, ,RA, 
156, ,RB, 
155, ,RA, 
157,4294,OCM(100), 
160, ,CSL, 
159, ,POS, 
158, ,RB, 
161, ,RB, 
162, ,R12, 
164, ,R2-5, 
163, ,UT, 
166, ,CL, 
167, ,R2-5, 
165, ,RA, 
170, ,RB, 
169, ,CL, 
168, ,RM, 
174, ,OCM(50), 
171, ,RC, 
172, ,R2-5, 
175, ,RB, 
173, ,CL, 
176, ,CD, 
177, ,RB, 
178, ,POS, 
179, ,RM, 
180, ,RA, 
181, ,CL, 
182, ,R12, 
183, ,POS, 
184, ,R20, 
185, ,RM, 
187, ,CL, 
186, ,R20, 
188, ,RB, 
189, ,CL, 
190, ,CD, 
191, ,POS, 
192, ,RCX, 
193, ,RCX, 
194, ,RA, 
198, ,RB, 
195, ,W-1, 
196, ,RB, 
197, ,POS, 
199, ,CL, 
203, ,OCM(50), 
202, ,RB, 
200, ,R8, 
201, ,RCX, 
204, ,RT, 
206, ,CL, 
207, ,RB, 
205, ,OC, 
208, ,CRMU/L, 
209, ,RA, 
210, ,CDX, 
211, ,RM, 
212, ,CSL, 
213, ,POS, 
215, ,RB, 
216,4674,POS, 
217, ,CDX, 
218, ,RA, 
214, ,WPR, 
221, ,RA, 
220, ,W-1, 
219, ,RA, 
223, ,CD, 
222, ,RB, 
224, ,RC, 
225, ,RM, 
228, ,CRMU/H, 
226, ,RA, 
227, ,OCM(50), 
230, ,R8, 
229, ,RM, 
231, ,RM, 
232, ,OCM(50), 
233,4288,CRMU/X, 
234,4310,NR, 
235,4310,CDD #12, 
236,4310,NR, 
237, ,OCM(100), 
239, ,R8, 
238,4087,OCH, 
240, ,OCM(50), 
241, ,UT, 
242, ,RM, 
244, ,OCM(100), 
243,4322,RB, 
245,4399,CDD #13, 
246, ,POS, 
247,4399,CDD #14, 
249, ,OCH, 
248, ,CL, 
251, ,R12, 
250,4375,CD, 
252, ,R12, 
253,4375,CRMU/L, 
255, ,POS, 
254, ,POS, 
257, ,CG, 
256,4426,UT, 
259,4427,RC, 
262,4413,OCH, 
261, ,POS, 
258, ,POS, 
260, ,OCH, 
263, ,R12, 
265, ,OC, 
264,4375,CD, 
266, ,R12, 
267,4375,CD, 
270,4375,CD, 
269, ,CL, 
268,4375,CD, 
271, ,CDX, 
272, ,CRMU/H, 
274, ,RC, 
273,4375,CD, 
275,4375,CD, 
276, ,CL, 
277,4375,CD, 
279,4375,CD, 
280, ,R12, 
278, ,RC, 
281,4375,CD, 
282, ,CRMU/X, 
283, ,CL, 
284, ,CSL, 
286, ,OCM(50), 
287,4413,CD, 
288, ,RA, 
285,4413,KR, 
289, ,OCM(50), 
291, ,POS, 
290, ,CRMU/M, 
292, ,I, 
293, ,RB, 
294, ,CG, 
295,4052,I, 
296, ,CSL, 
298, ,WPR, 
297, ,POS, 
299, ,I, 
300, ,R12, 
301, ,CSL, 
304, ,POS, 
302, ,POS, 
303, ,R2-5, 
305, ,OCM(100), 
306, ,R5, 
307, ,RC, 
308, ,CRMU/H, 
309, ,CRMU/M, 
311, ,CRMU/M, 
310, ,UT, 
312, ,RA, 
314, ,OCM(50), 
313, ,CR, 
315, ,RC, 
316, ,RCX, 
317, ,RB, 
318, ,POS, 
319, ,CG, 
321, ,R12, 
322,4732,CDD #20, 
323, ,POS, 
324, ,RB, 
325, ,CRMU/H, 
326, ,I, 
327, ,CRMU/H, 
328, ,CG, 
331, ,RB, 
329,4575,CDD #16, 
320, ,R8, 
330, ,CG, 
332, ,RB, 
333, ,R2-5, 
334, ,CRMU/H, 
336,4580,CDD #17, 
337,4527,CDD #15, 
335, ,R5, 
339, ,CD, 
340,4754,OC, 
343, ,CG, 
341,4769,CRMU/M, 
344,4813,CDD #22, 
342,4678,CDD #19, 
346, ,CDD #7, 
347,4254,CRMU/M, 
348,4821,CRMU/M, 
349, ,CG, 
350, ,OCM(50), 
352, ,CG, 
345,4813,CDD #21, 
338, ,UT, 
351, ,WPR, 
353, ,CL, 
354, ,RC, 
356, ,OC, 
355, ,CL, 
357, ,RA, 
359, ,CRMU/X, 
358, ,OC, 
361, ,RCX, 
363, ,RC, 
360, ,CG, 
362, ,CC, 
364, ,R2-5, 
365, ,CG, 
366, ,POS, 
367, ,POS, 
368, ,CL, 
369, ,CL, 
370, ,POS, 
371, ,RT, 
372, ,CRMU/M, 
373, ,R8, 
375,4186,RB, 
374, ,CL, 
376, ,RA, 
378, ,RB, 
377, ,RC, 
379, ,RB, 
381, ,RT, 
380, ,CL, 
382, ,RM, 
385, ,RCX, 
384, ,RC, 
383, ,CL, 
387, ,OC, 
388, ,RB, 
386, ,CSL, 
389, ,R2-5, 
390, ,CL, 
392, ,R2-5, 
391, ,W-1, 
393, ,POS, 
394, ,CL, 
395, ,CL, 
397, ,RB, 
396, ,RB, 
398, ,CL, 
399, ,POS, 
400, ,R8, 
401, ,CG, 
402, ,CL, 
404, ,RA, 
403, ,CD, 
406, ,RA, 
405, ,WPR, 
407, ,POS, 
408, ,POS, 
409, ,CSL, 
411, ,CG, 
410, ,RB, 
413, ,RT, 
416, ,CRMU/M, 
412, ,I, 
415, ,RC, 
414, ,RA, 
417, ,POS, 
418, ,CD, 
419, ,RC, 
420, ,CDD #8, 
421, ,CSL, 
422, ,POS, 
424, ,CL, 
423, ,UT, 
426, ,CL, 
427, ,CRMU/M, 
425, ,R2-5, 
