OBJECTID,SNOW_OWNER,SNOW_PRIORITY,SHAPEarea,SHAPElen
1,UNK,0,1716.89225,325.956591729447
2,UNK,0,4281.70612460938,781.326747228542
3,UNK,0,4834.9476,756.271543773408
7,UNK,0,4098.11463125,540.76357661121
6,UNK,0,16638.6812507813,1254.38869799515
10,UNK,0,3971.23177460937,712.214879844034
4,UNK,0,3023.225015625,597.974430854873
8,UNK,0,9243.53429199219,1879.56604944389
5,UNK,0,2206.621903125,420.250268866205
9,UNK,0,4679.0619,924.703561706212
11,UNK,0,10625.4886398438,2043.1543464647
12,UNK,0,4384.84949785156,879.663468537484
13,UNK,0,3658.0583,758.353250758153
16,UNK,0,3460.4006,371.030439990854
15,UNK,0,6077.74729101562,1335.95487452556
14,UNK,0,4199.37986269531,884.648413782003
18,UNK,0,61.10315,35.7614112361183
19,UNK,0,2126.46459921875,421.177132846731
20,UNK,0,6807.58245703125,1310.71042795315
21,UNK,0,4352.1111203125,894.634886740782
17,UNK,0,4720.26583847656,850.646391266679
22,UNK,0,4366.960421875,867.487360517802
24,UNK,0,48.79105,31.8050673180918
23,UNK,0,4117.96406484375,857.883714705424
25,UNK,0,1874.352,466.105376884991
26,UNK,0,65.5499697265625,38.9011682432066
27,UNK,0,40.49205,26.9902154318016
28,UNK,0,31.80995,24.9060396960932
31,UNK,0,3584.293140625,522.349093322033
29,UNK,0,3087.823065625,608.207313189824
30,UNK,0,3723.1518375,632.792031491035
35,UNK,0,4934.70624492187,822.689715038611
32,UNK,0,11323.12741875,1121.37104838461
33,UNK,0,90.3395,46.0160049297023
36,UNK,0,2696.65615,566.299385323485
34,UNK,0,2439.90837519531,509.128791923149
37,UNK,0,10675.7563214844,871.451693794373
38,UNK,0,3203.62244238281,395.936765368305
40,UNK,0,280.50015,84.8023970693875
39,UNK,0,1642.5633,225.111569876222
41,UNK,0,57.6110056640625,36.1662632670048
43,UNK,0,53.67899375,51.9023081542451
42,UNK,0,15003.5545003906,1968.98180761767
44,UNK,0,85.39835,46.8884268293424
46,UNK,0,9402.623928125,1166.8984825421
45,UNK,0,2687.31965058594,534.301821590281
48,UNK,0,3653.54683554688,619.576504871538
49,UNK,0,56.1156,44.4856876497802
51,UNK,0,2501.47875,550.517055177176
50,UNK,0,54.2555,37.787585964563
47,UNK,0,12432.5861119141,1649.72352230041
52,UNK,0,57.89115,36.7140886608914
53,UNK,0,30.20095,38.0034473924163
54,UNK,0,5457.94615,933.396751459142
55,UNK,0,4022.111253125,886.722381848713
60,UNK,0,2355.1697,394.244360495262
56,UNK,0,4723.89076113281,1024.59536644979
57,UNK,0,68.75095,39.0258305105927
59,UNK,0,4666.0610109375,1127.39811944564
58,UNK,0,7842.230253125,1763.19327517154
61,UNK,0,109.9409,55.5379308989382
62,UNK,0,64.3588,42.1366841069575
63,UNK,0,7638.86238144531,1094.67637793616
64,UNK,0,1753.28725683594,408.423677519098
65,UNK,0,2481.00622871094,475.635266115119
66,UNK,0,3861.34594375,470.465970808884
67,UNK,0,3576.24745,594.009316668223
68,UNK,0,5334.65609667969,890.178759425216
69,UNK,0,2581.83430195312,463.457319553687
72,UNK,0,2705.43385253906,551.087118831282
71,UNK,0,9052.69613984375,1349.23375867033
70,UNK,0,2168.941575,521.416974015647
73,UNK,0,7130.63439863281,675.399466298957
74,UNK,0,14387.9749753906,1846.00621987713
75,UNK,0,5383.77939648437,950.558579481366
