FID,NAME,ADDRESS
1,Matthew Maury Elementary School,600 RUSSELL RD
2,Mount Vernon Elementary School,2600 MT VERNON AV
6,George Mason Elementary School,2601 CAMERON MILLS RD
5,T.C. Williams High School,3300 KING ST
4,Douglas MacArthur Elementary Schools,1101 JANNEYS LA
10,Francis Hammond Middle School,4646 SEMINARY RD
3,Cora Kelly Elementary School,3600 COMMONWEALTH AV
8,Lyles-Crouch Elementary School,530 S ST ASAPH ST
9,John Adams Elementary School,5651 RAYBURN AV
7,Jefferson-Houston Elementary School,1501 CAMERON ST
11,Charles Barrett Elementary School,1115 MARTHA CUSTIS DR
12,George Washington Middle School,1005 MT VERNON AV
13,Samuel W. Tucker Elementary School,435 FERDINAND DAY DR
17,Minnie Howard Ninth Grade School,3801 W BRADDOCK RD
15,James K. Polk Elementary School,5000 POLK AV
14,William Ramsay Elementary School,5700 SANGER AV
16,Patrick Henry Elementary School,4643 TANEY AV
