OBJECTID,FTR_CODE,ELEV,DEMO
11093,Residential Building,29.7,No
11094,Residential Building,32.3,No
10674,Residential Building,22.3,No
11096,Residential Building,32.2,No
10676,Residential Building,20.1,No
11097,Garage,17.2,No
10677,Residential Building,31.6,No
11099,Residential Building,20.6,No
10678,Residential Building,21.7,No
11100,Residential Building,21.7,No
10679,Garage,19.4,No
11101,Commercial / Industrial Building,21.4,No
10680,Residential Building,21.4,No
11102,Residential Building,33.2,No
10681,Residential Building,22.3,No
11103,Residential Building,31.2,No
10682,Residential Building,28.9,No
11104,Other Building,14.6,No
10683,Residential Building,29.1,No
11105,Residential Building,23.4,No
11106,Garage,19,No
10684,Residential Building,22.7,No
11107,Garage,19.7,No
10685,Residential Building,21.6,No
11109,Residential Building,20.7,No
10686,Residential Building,33,No
11110,Residential Building,22,No
10687,Commercial / Industrial Building,25.7,No
11111,Garage,19.3,No
10688,Residential Building,22.6,No
11112,Residential Building,20.6,No
10689,Residential Building,33.5,No
11113,Garage,19,No
10691,Other Building,16.7,No
11114,Garage,17.2,No
10692,Garage,17.7,No
11115,Garage,19.6,No
10693,Residential Building,25.3,No
11116,Garage,17.7,No
10694,Other Building,17.3,No
11117,Commercial / Industrial Building,24,No
10695,Other Building,19.4,No
11118,Residential Building,36.2,No
10697,Residential Building,30.5,No
11119,Residential Building,32.5,No
10698,Residential Building,29.8,No
10699,Residential Building,30.9,No
11120,Garage,18.7,No
10700,Residential Building,21.8,No
11121,Residential Building,32.2,No
10701,Residential Building,19,No
11122,Other Building,14.5,No
11123,Garage,17.8,No
10702,Residential Building,30.7,No
11125,Other Building,20.853,No
10703,Garage,21.1,No
11127,Garage,18.9,No
10704,Residential Building,21.9,No
11128,Garage,15.9,No
10705,Commercial / Industrial Building,36.3,No
11129,Garage,19.2,No
10708,Residential Building,37.9,No
11130,Garage,13.9,No
10709,Residential Building,31.9,No
11131,Residential Building,32.6,No
10710,Garage,18.7,No
11132,Garage,19.9,No
10711,Residential Building,32.5,No
11133,Garage,19.5,No
10712,Residential Building,18.9,No
11134,Commercial / Industrial Building,23.6,No
10713,Residential Building,22.8,No
11135,Garage,20.2,No
10714,Residential Building,33.2,No
11136,Residential Building,29.9,No
10715,Other Building,20,No
11137,Other Building,17.4,No
10716,Residential Building,35.4,No
11139,Garage,18.6,No
10717,Other Building,22.2,No
11140,Residential Building,29.8,No
10718,Garage,18.7,No
11142,Residential Building,17.2,No
10719,Residential Building,16.6,No
11143,Residential Building,22.3,No
10720,Garage,19,No
11144,Commercial / Industrial Building,27.3,No
10721,Residential Building,31.5,No
11145,Garage,18.4,No
11146,Residential Building,21,No
10722,Commercial / Industrial Building,19.4,No
11148,Residential Building,32.4,No
10723,Other Building,13.8,No
11149,Residential Building,20.1,No
10724,Residential Building,34.6,No
10725,Other Building,16.4,No
11150,Garage,16.5,No
10726,Garage,18.9,No
11151,Residential Building,32.7,No
10727,Other Building,17.8,No
11152,Garage,18.2,No
10729,Residential Building,20.6,No
11153,Residential Building,33.7,No
10730,Residential Building,31.3,No
11154,Residential Building,45,No
10732,Garage,18.8,No
11155,Residential Building,20.4,No
10734,Garage,17.6,No
10735,Residential Building,22.7,No
11156,Garage,17.8,No
10736,Other Building,16.7,No
11157,Garage,18.8,No
11158,Garage,17.1,No
10737,Residential Building,34.7,No
11159,Garage,18.4,No
10740,Residential Building,33.8,No
10742,Residential Building,20,No
11160,Residential Building,30.2,No
10744,Residential Building,31.6,No
11161,Garage,18.1,No
10745,Residential Building,34.8,No
11162,Residential Building,27.8,No
10746,Garage,21.1,No
11163,Residential Building,29.7,No
10747,Residential Building,33.5,No
11164,Residential Building,19.9,No
10748,Residential Building,23.3,No
11165,Residential Building,49.1,No
10749,Residential Building,22,No
10750,Other Building,17.1,No
11166,Garage,18.8,No
10751,Other Building,13.5,No
11167,Residential Building,39.586,No
10752,Residential Building,21.3,No
11168,Other Building,21.6,No
10753,Residential Building,30.6,No
11169,Residential Building,21.7,No
10755,Residential Building,53.2,No
11170,Residential Building,30.1,No
10756,Residential Building,27.2,No
11172,Garage,27,No
10757,Garage,20.8,No
11173,Residential Building,30.3,No
11174,Residential Building,20.3,No
10758,Residential Building,22.4,No
11175,Other Building,15.3,No
10759,Residential Building,33.5,No
10760,Residential Building,18.9,No
11176,Residential Building,33.5,No
10761,Residential Building,28.1,No
11177,Garage,16.9,No
11178,Garage,22.4,No
10762,Garage,18.5,No
11179,Residential Building,29.6,No
10764,Residential Building,21,No
11180,Residential Building,21.1,No
10765,Residential Building,31.8,No
11181,Residential Building,29,No
10766,Other Building,14.4,No
10767,Residential Building,22.8,No
11183,Residential Building,27.4,No
10768,Commercial / Industrial Building,32.6,No
11184,Commercial / Industrial Building,22.4,No
10769,Garage,16.3,No
11186,Residential Building,18.7,No
10771,Residential Building,47.2,No
11187,Residential Building,32.7,No
11188,Commercial / Industrial Building,24.1,No
10772,Residential Building,21.3,No
11189,Residential Building,31.4,No
10774,Garage,18.6,No
11190,Commercial / Industrial Building,24.9,No
10775,Residential Building,19,No
11193,Residential Building,28.2,No
10776,Commercial / Industrial Building,89.2,No
11194,Residential Building,35.2,No
10777,Residential Building,47.7,No
11195,Garage,20.9,No
10778,Commercial / Industrial Building,31.143,No
11196,Commercial / Industrial Building,24.488,No
10779,Residential Building,32.3,No
11197,Residential Building,17.6,No
10780,Residential Building,0,No
11198,Commercial / Industrial Building,17,No
11199,Residential Building,33,No
11200,Residential Building,30.9,No
10781,Residential Building,33.4,No
11201,Residential Building,21.6,No
10782,Residential Building,24.6,No
11202,Residential Building,22.3,No
10783,Residential Building,31.9,No
11203,Residential Building,18.4,No
10784,Other Building,17.9,No
11204,Storage Tank,38.7,No
10785,Residential Building,35.9,No
10786,Residential Building,33.5,No
10787,Residential Building,34,No
10788,Residential Building,19.4,No
11205,Garage,20.5,No
10789,Residential Building,22.8,No
11207,Residential Building,19.6,No
10790,Garage,13.7,No
11208,Garage,18.3,No
10791,Residential Building,21,No
11209,Garage,18.5,No
11210,Commercial / Industrial Building,44.8,No
10792,Garage,16.2,No
11211,Other Building,15.5,No
10793,Garage,18.8,No
11212,Residential Building,21.8,No
10794,Residential Building,26.2,No
11213,Garage,19,No
10795,Residential Building,20.2,No
11215,Garage,17.5,No
10796,Residential Building,29.1,No
11216,Commercial / Industrial Building,21.8,No
10797,Garage,17.1,No
11217,Residential Building,20.7,No
10798,Garage,18.8,No
11218,Garage,19.5,No
10800,Commercial / Industrial Building,40.1,No
11219,Garage,18.9,No
10801,Residential Building,32,No
11220,Commercial / Industrial Building,24.4,No
10802,Commercial / Industrial Building,30.1,No
11221,Garage,18.8,No
11222,Residential Building,20.1,No
10803,Residential Building,40.7,No
11223,Other Building,13.5,No
10804,Residential Building,29.4,No
11225,Residential Building,50.5,No
10805,Residential Building,25,No
11226,Garage,19.6,No
10806,Residential Building,18.5,No
11228,Other Building,20.749,No
10807,Residential Building,32.7,No
11229,Garage,15.3,No
10808,Residential Building,24.506,No
11230,Residential Building,29.4,No
10809,Residential Building,31.9,No
