OBJECTID,FTR_CODE,ELEV,DEMO
11231,Residential Building,29.7,No
10811,Commercial / Industrial Building,26.8,No
11232,Residential Building,23.6,No
10812,Other Building,23.3,No
11233,Residential Building,27.8,No
10813,Residential Building,21.7,No
11234,Residential Building,28.3,No
10814,Residential Building,20.8,No
11236,Residential Building,21.8,No
10815,Residential Building,31.1,No
11237,Residential Building,21.4,No
10816,Residential Building,30.8,No
11238,Commercial / Industrial Building,43.4,No
10817,Residential Building,32.6,No
11239,Residential Building,22.1,No
10818,Residential Building,35.573,No
11240,Residential Building,22,No
10819,Residential Building,33.4,No
11241,Residential Building,21.4,No
10820,Residential Building,33.8,No
11242,Commercial / Industrial Building,28,No
10821,Residential Building,29.6,No
10822,Residential Building,44.058,No
11243,Garage,17.1,No
11244,Commercial / Industrial Building,27.7,No
10824,Residential Building,32.5,No
10825,Residential Building,19,No
11245,Other Building,17.4,No
10826,Garage,19.7,No
11246,Residential Building,32.8,No
10827,Garage,18.6,No
11248,Other Building,19,No
10828,Residential Building,34.9,No
11249,Residential Building,22.5,No
11250,Commercial / Industrial Building,18.5,No
10829,Garage,19.1,No
11251,Residential Building,20.5,No
10830,Residential Building,31.5,No
10831,Residential Building,34.7,No
11252,Residential Building,32.1,No
10832,Commercial / Industrial Building,23.7,No
11253,Residential Building,21.2,No
10833,Residential Building,23.7,No
11255,Commercial / Industrial Building,29.3,No
10834,Other Building,17.6,No
10835,Garage,18.1,No
11256,Commercial / Industrial Building,24.9,No
10836,Other Building,11.3,No
11258,Residential Building,28.1,No
10837,Residential Building,20.7,No
11259,Other Building,14.1,No
10838,Commercial / Industrial Building,19.4,No
11260,Residential Building,32.1,No
10839,Residential Building,32.8,No
11261,Other Building,14.9,No
10840,Residential Building,32.5,No
11263,Residential Building,22.5,No
10842,Residential Building,28.2,No
11264,Other Building,14,No
10843,Garage,18.5,No
11265,Commercial / Industrial Building,28.3,No
10844,Residential Building,33.3,No
11266,Residential Building,18.8,No
10845,Residential Building,23.1,No
11268,Commercial / Industrial Building,36.8,No
10846,Commercial / Industrial Building,41.7,No
11269,Residential Building,33.4,No
10847,Residential Building,31,No
11270,Garage,20.7,No
10848,Residential Building,21.4,No
11271,Garage,18.8,No
10849,Residential Building,20.4,No
11272,Commercial / Industrial Building,27.4,No
10850,Residential Building,32.1,No
11273,Commercial / Industrial Building,40.665,No
10851,Residential Building,19.2,No
11274,Garage,18,No
10852,Commercial / Industrial Building,23.9,No
11276,Garage,19.5,No
10853,Garage,18.7,No
11277,Residential Building,19.4,No
10854,Commercial / Industrial Building,22.4,No
11278,Residential Building,37.5,No
10856,Other Building,19.5,No
11279,Residential Building,26.9,No
11280,Other Building,17.2,No
10857,Other Building,16.6,No
11281,Residential Building,30.3,No
10858,Garage,18.1,No
11283,Residential Building,19.5,No
10859,Garage,15.2,No
11284,Other Building,18.9,No
10860,Residential Building,30,No
11285,Commercial / Industrial Building,28.5,No
10861,Garage,19.9,No
11286,Garage,21,No
10862,Residential Building,50,No
11287,Residential Building,21.1,No
11288,Residential Building,31.9,No
10863,Garage,28.2,No
11289,Garage,17.6,No
10864,Residential Building,43.8,No
11290,Residential Building,22,No
10865,Residential Building,19.5,No
11291,Residential Building,20.1,No
10866,Residential Building,33.9,No
11292,Residential Building,18.1,No
10867,Commercial / Industrial Building,48.7,No
11293,Other Building,14.8,No
10868,Residential Building,33.9,No
11294,Residential Building,0,No
10869,Residential Building,30.8,No
11295,Residential Building,19.8,No
10870,Commercial / Industrial Building,27.8,No
11296,Other Building,13.4,No
10872,Residential Building,31.4,No
11297,Commercial / Industrial Building,36.7,No
10873,Residential Building,22.7,No
11298,Residential Building,26.9,No
10874,Garage,18.3,No
11299,Garage,16.1,No
10875,Garage,18.8,No
11300,Residential Building,49.4,No
10876,Garage,16.9,No
10877,Residential Building,23.7,No
11301,Other Building,16.3,No
10878,Residential Building,17.6,No
11303,Residential Building,30.9,No
10879,Residential Building,20.5,No
11305,Residential Building,27.3,No
10880,Residential Building,31.4,No
11306,Residential Building,23.1,No
10881,Residential Building,21.1,No
11307,Residential Building,21.1,No
10882,Residential Building,0,No
11308,Residential Building,21.4,No
10884,Residential Building,18.7,No
11309,Residential Building,30.9,No
10885,Residential Building,30.4,No
11310,Residential Building,32.2,No
10886,Residential Building,31.7,No
11311,Residential Building,20.7,No
10887,Commercial / Industrial Building,33.583,No
10888,Commercial / Industrial Building,35.1,No
11312,Residential Building,38.475,No
11313,Residential Building,31.2,No
10889,Other Building,18.1,No
11314,Commercial / Industrial Building,36.9,No
10890,Garage,18.3,No
10891,Other Building,11.4,No
11315,Residential Building,38.813,No
10892,Residential Building,22.9,No
11317,Other Building,13.9,No
10893,Other Building,14.9,No
10894,Commercial / Industrial Building,21.1,No
11319,Other Building,15.7,No
10895,Other Building,18.4,No
11320,Commercial / Industrial Building,30.3,No
10896,Garage,18.3,No
11321,Commercial / Industrial Building,38.619,No
10897,Residential Building,32.6,No
11322,Garage,17.1,No
10898,Residential Building,17.9,No
11324,Residential Building,21.3,No
10899,Residential Building,32.7,No
11325,Residential Building,21.3,No
10900,Residential Building,32.5,No
11326,Residential Building,28.5,No
10901,Garage,20.1,No
11327,Garage,19.4,No
10903,Other Building,19.3,No
11328,Residential Building,20.7,No
10904,Residential Building,24.2,No
11329,Residential Building,23.3,No
10905,Residential Building,22.4,No
11330,Residential Building,21.7,No
10906,Residential Building,45,No
11331,Garage,17.9,No
10907,Residential Building,32.1,No
11332,Garage,19.8,No
10908,Garage,20.2,No
11333,Residential Building,26.7,No
10910,Garage,18.1,No
11334,Residential Building,26.5,No
10911,Residential Building,33.2,No
11335,Other Building,17.2,No
10912,Commercial / Industrial Building,37.9,No
11336,Commercial / Industrial Building,29.6,No
10913,Residential Building,21.2,No
11337,Residential Building,32.7,No
10915,Other Building,18.8,No
10916,Residential Building,21.4,No
11338,Other Building,19.4,No
11339,Other Building,21.4,No
10917,Residential Building,35.888,No
10918,Other Building,15.1,No
11340,Residential Building,20.8,No
10919,Garage,13.6,No
11341,Garage,18,No
10920,Residential Building,21.2,No
11342,Garage,18,No
10921,Residential Building,19.9,No
10922,Residential Building,31.4,No
11343,Residential Building,31.4,No
10923,Garage,18.5,No
11344,Residential Building,25.7,No
10924,Other Building,17.8,No
11345,Residential Building,31.8,No
10925,Garage,19,No
11346,Residential Building,21.4,No
10927,Other Building,18.5,No
11348,Commercial / Industrial Building,25.1,No
10928,Commercial / Industrial Building,25.8,No
11350,Garage,19.7,No
10929,Residential Building,33.8,No
11351,Residential Building,30.5,No
10930,Residential Building,31.2,No
11352,Other Building,16.2,No
10932,Residential Building,32,No
11353,Residential Building,26.5,No
11354,Garage,26.5,No
10933,Garage,19.5,No
11355,Residential Building,21.9,No
10934,Commercial / Industrial Building,35.3,No
11356,Residential Building,20.3,No
11357,Residential Building,22,No
10935,Residential Building,23.6,No
11358,Residential Building,0,No
10936,Commercial / Industrial Building,25.4,No
11360,Residential Building,30.5,No
10937,Residential Building,32.3,No
11361,Garage,19.6,No
10938,Commercial / Industrial Building,26.5,No
10939,Residential Building,24.9,No
11363,Residential Building,32.3,No
11365,Residential Building,19.3,No
10940,Residential Building,58,No
11366,Residential Building,19.8,No
10941,Residential Building,22,No
11367,Residential Building,31.9,No
10942,Residential Building,47.6,No
11368,Garage,16.2,No
10943,Residential Building,30.4,No
11369,Garage,17.2,No
10944,Residential Building,20.1,No
11370,Residential Building,32.1,No
10945,Residential Building,47.9,No
11371,Garage,24.4,No
10946,Other Building,16.1,No
11372,Other Building,14.9,No
10947,Garage,18.9,No
11373,Residential Building,29.6,No
10948,Garage,17.9,No
11374,Garage,19.8,No
10949,Garage,17.7,No
10950,Other Building,20.5,No
11375,Residential Building,24.4,No
10951,Residential Building,31.2,No
11376,Residential Building,21.3,No
10952,Residential Building,29.7,No
11377,Residential Building,20.9,No
10953,Residential Building,22.5,No
11378,Residential Building,47.4,No
10955,Other Building,19.8,No
11379,Residential Building,20.6,No
10956,Residential Building,29.4,No
11380,Garage,20.6,No
10957,Residential Building,31.8,No
10959,Residential Building,30.3,No
11381,Other Building,16.9,No
10960,Garage,19.2,No
11382,Residential Building,21.7,No
10961,Residential Building,30.6,No
11384,Other Building,17.7,No
10962,Garage,17.8,No
11385,Residential Building,30.2,No
10963,Residential Building,19.3,No
11386,Commercial / Industrial Building,19.5,No
10964,Garage,18.7,No
10966,Garage,18.6,No
11388,Residential Building,32.1,No
10967,Other Building,20.3,No
11389,Residential Building,22.4,No
10969,Other Building,14.4,No
11390,Commercial / Industrial Building,30.3,No
10970,Residential Building,19,No
11391,Garage,18.8,No
10971,Residential Building,32.9,No
11392,Other Building,13.3,No
10972,Residential Building,19.9,No
11393,Garage,15.9,No
10973,Garage,18.7,No
11394,Residential Building,30.4,No
10974,Residential Building,24.9,No
11395,Residential Building,19.7,No
10975,Residential Building,29.2,No
11396,Other Building,17.4,No
10976,School,31.6,No
11397,Garage,17.9,No
11399,Residential Building,33.251,No
10977,Residential Building,22.5,No
11400,Residential Building,17.5,No
10978,Commercial / Industrial Building,17.3,No
11401,Residential Building,22.2,No
10979,Residential Building,32.1,No
11403,Residential Building,20.7,No
10981,Residential Building,21.8,No
11404,Other Building,19.4,No
10982,Garage,19.7,No
11405,Residential Building,19.8,No
10985,Residential Building,31.6,No
11406,Residential Building,30.9,No
10986,Residential Building,40.2,No
11407,Garage,17.8,No
10987,Residential Building,18,No
11408,Residential Building,29.1,No
10988,Residential Building,31.1,No
11410,Garage,17.9,No
10989,Garage,14.8,No
11412,Residential Building,31.2,No
10990,Other Building,16.3,No
11415,Residential Building,25.1,No
10991,Other Building,16.9,No
11417,Residential Building,21.3,No
10993,Residential Building,20.3,No
11418,Residential Building,28.7,No
10994,Other Building,17.3,No
11419,Residential Building,32.2,No
10995,Garage,19,No
10996,Garage,20.4,No
11420,Other Building,18.8,No
10997,Other Building,22.499,No
11422,Commercial / Industrial Building,38.8,No
10998,Other Building,18.6,No
11423,Other Building,15.8,No
11000,Residential Building,28.8,No
11424,Commercial / Industrial Building,25,No
10871,Commercial / Industrial Building,27.8,No
11425,Residential Building,28,No
10549,Residential Building,20.6,No
11426,Residential Building,39,No
10902,Residential Building,38.6,No
11427,Residential Building,29.7,No
10823,Residential Building,30.3,No
11428,Garage,17,No
10738,Residential Building,30.8,No
11429,Residential Building,29.2,No
10343,Residential Building,34.6,No
11430,Residential Building,19.5,No
10954,Residential Building,31.3,No
11433,Garage,15.6,No
10992,Residential Building,32.7,No
11434,Residential Building,22.5,No
10660,Residential Building,44.499,No
11435,Residential Building,21.1,No
10153,Residential Building,20.9,No
11437,Residential Building,41.977,No
11438,Garage,16.3,No
10225,Residential Building,32.1,No
11439,Residential Building,18.9,No
10124,Garage,15.5,No
11440,Residential Building,29.4,No
10293,Residential Building,30.7,No
11441,Garage,18.5,No
10215,Residential Building,27.4,No
11442,Residential Building,22,No
10430,Residential Building,34.6,No
11443,Residential Building,32.4,No
10135,Residential Building,0,No
11444,Residential Building,34.7,No
10706,Residential Building,26,No
11445,Residential Building,29.6,No
10655,Residential Building,19.9,No
11446,Residential Building,21.8,No
10763,Residential Building,21.6,No
11448,Other Building,18,No
11450,Residential Building,19.1,No
10611,Residential Building,22.3,No
11451,Garage,17.1,No
10931,Residential Building,22,No
11452,Residential Building,31.2,No
10983,Residential Building,18,No
11453,Other Building,21.314,No
10023,Residential Building,31.5,No
11454,Residential Building,37.817,No
10025,Other Building,16.4,No
11455,Institutional Building,30.2,No
10103,Residential Building,21.4,No
11456,Residential Building,19.5,No
10179,Residential Building,21.4,No
11457,Residential Building,31.5,No
10128,Residential Building,19.3,No
11458,Garage,18.8,No
10040,Residential Building,17.4,No
11459,Residential Building,32.7,No
10675,Other Building,18.3,No
11460,Commercial / Industrial Building,36.5,No
10984,Residential Building,30.6,No
11461,Residential Building,31,No
10417,Residential Building,30.6,No
10324,Residential Building,28.8,No
11464,Residential Building,28.7,No
10229,Residential Building,29.4,No
11465,Residential Building,67.9,No
11467,Garage,19.7,No
10101,Residential Building,36,No
11468,Residential Building,34.1,No
10980,Residential Building,32,No
11469,Garage,17.1,No
10541,Residential Building,40.221,No
11470,Garage,17.8,No
10619,Residential Building,29,No
11471,Residential Building,30.7,No
10568,Residential Building,32.7,No
11472,Residential Building,23.5,No
10593,Residential Building,41.1,No
11473,Garage,17.8,No
10577,Residential Building,25,No
11474,Garage,20.2,No
11475,Other Building,18.6,No
10656,Residential Building,30.2,No
11476,Garage,18.5,No
10647,Residential Building,26.9,No
10670,Residential Building,30.8,No
11477,Residential Building,22.8,No
10439,Residential Building,42.954,No
11478,Garage,18.9,No
10310,Residential Building,32.6,No
11480,Commercial / Industrial Building,24.6,No
10341,Residential Building,32.8,No
11481,Residential Building,0,No
10369,Residential Building,33,No
11482,Residential Building,20.5,No
10280,Residential Building,32.9,No
11483,Garage,17.5,No
10473,Residential Building,33.2,No
11484,Garage,18.8,No
10538,Residential Building,32.8,No
11485,Garage,19.7,No
10321,Residential Building,29.4,No
11486,Other Building,17.8,No
10277,Residential Building,29.8,No
11487,Garage,17.5,No
10236,Residential Building,30.6,No
11489,Garage,17.8,No
10209,Residential Building,24.5,No
11490,Residential Building,36,No
10134,Residential Building,31.3,No
11491,Other Building,19.2,No
10080,Residential Building,44.168,No
10110,Residential Building,31.8,No
11492,Other Building,17.9,No
10028,Residential Building,30.9,No
11493,Commercial / Industrial Building,30.7,No
10067,Residential Building,47.9,No
11494,Commercial / Industrial Building,32.6,No
10163,Residential Building,57.4,No
11495,Other Building,19.1,No
11496,Garage,18.6,No
10231,Residential Building,46.6,No
11497,Residential Building,23.7,No
10301,Residential Building,32.2,No
11498,Other Building,15.2,No
10188,Residential Building,49.7,No
11499,Residential Building,23.9,No
10241,Residential Building,23.7,No
11501,Residential Building,20.7,No
10419,Residential Building,31.9,No
10501,Residential Building,30.4,No
11502,Garage,19.2,No
11503,Garage,19.3,No
10616,Residential Building,30.4,No
11504,Other Building,15,No
10731,Residential Building,37.7,No
11505,Residential Building,29.8,No
10909,Residential Building,31.4,No
11506,Residential Building,41.961,No
10968,Residential Building,35.1,No
11508,Residential Building,28.3,No
10601,Residential Building,30.6,No
11509,Garage,13.3,No
10739,Residential Building,34.9,No
11510,Residential Building,27.6,No
10810,Residential Building,27.4,No
11511,Commercial / Industrial Building,37.1,No
10926,Residential Building,32.7,No
11512,Residential Building,29,No
10883,Residential Building,36.2,No
11513,Residential Building,22.9,No
10770,Residential Building,30.4,No
11515,Garage,16.6,No
10999,Commercial / Industrial Building,39.2,No
11516,Residential Building,30,No
11517,Residential Building,22.8,No
11518,Residential Building,22.7,No
11519,Other Building,18.2,No
11520,Residential Building,21,No
11521,Other Building,17.4,No
11522,Residential Building,19.2,No
11523,Residential Building,35.2,No
11524,Garage,17.8,No
11525,Residential Building,25,No
11526,Residential Building,22.7,No
11527,Garage,22.7,No
11529,Commercial / Industrial Building,26.8,No
11530,Garage,20.2,No
11531,Residential Building,0,No
11532,Commercial / Industrial Building,24.5,No
11533,Commercial / Industrial Building,32.152,No
11534,Residential Building,21.9,No
11535,Residential Building,19.1,No
11536,Residential Building,35.4,No
11537,Residential Building,37.8,No
11539,Residential Building,30.4,No
11540,Residential Building,22,No
11541,Garage,17.9,No
11542,Residential Building,21,No
11543,Other Building,17.7,No
11544,Residential Building,20.4,No
11545,Garage,21.9,No
11546,Residential Building,22.2,No
11548,Commercial / Industrial Building,29.185,No
11550,Residential Building,22.1,No
11552,Garage,16.5,No
11553,Commercial / Industrial Building,38.6,No
11554,Residential Building,27,No
11555,Garage,20.1,No
11556,Residential Building,32.4,No
11558,Residential Building,29.1,No
11559,Residential Building,30.2,No
11560,Residential Building,23.4,No
11561,Residential Building,30.7,No
11563,Other Building,18.7,No
11564,Residential Building,38.563,No
11565,Residential Building,24.2,No
11566,Residential Building,23.8,No
11567,Other Building,16.4,No
11568,Garage,18.5,No
11570,Other Building,17.6,No
11574,Other Building,10.2,No
11575,Residential Building,20.8,No
11576,Residential Building,29.9,No
11577,Residential Building,19.3,No
11578,Residential Building,29.3,No
11579,Residential Building,35.3,No
11580,Residential Building,21.8,No
11581,Garage,20.6,No
11582,Residential Building,31.6,No
11583,Residential Building,19.4,No
11584,Residential Building,36.8,No
11585,Residential Building,20.8,No
11587,Other Building,16.4,No
11588,Residential Building,19.1,No
11589,Residential Building,18.837,No
11590,Garage,17.6,No
11591,Residential Building,20.9,No
11592,Commercial / Industrial Building,25.9,No
11593,Garage,17.6,No
11595,Other Building,18,No
11596,Other Building,20.5,No
11597,Residential Building,17.2,No
11598,Residential Building,21.8,No
11599,Garage,16.9,No
11600,Residential Building,21.6,No
11601,Residential Building,31.6,No
11602,Garage,20.6,No
11603,Residential Building,37.757,No
11604,Residential Building,26.5,No
11605,Residential Building,20.8,No
11606,Garage,18.8,No
11607,Garage,18.9,No
11609,Residential Building,28.8,No
11610,Residential Building,30.7,No
11612,Residential Building,37.7,No
11613,Residential Building,22.1,No
11614,Commercial / Industrial Building,28.9,No
11615,Commercial / Industrial Building,22.619,No
11616,Residential Building,20.7,No
11617,Residential Building,29.2,No
11618,Residential Building,29,No
11619,Residential Building,23.6,No
11620,Residential Building,23,No
11621,Residential Building,22.399,No
11622,Other Building,12.8,No
11624,Residential Building,34.2,No
11626,Residential Building,21.5,No
11627,Garage,17.6,No
11628,Other Building,21.5,No
11629,Residential Building,33.6,No
11630,Residential Building,19.7,No
11631,Residential Building,19.9,No
11632,Residential Building,41.1,No
11633,Garage,20.7,No
11634,Residential Building,21.6,No
11635,Residential Building,33.7,No
11636,Residential Building,34.4,No
11637,Residential Building,34.5,No
11638,Residential Building,24.8,No
11639,Residential Building,21.9,No
11640,Commercial / Industrial Building,34,No
11641,Residential Building,32.3,No
11642,Residential Building,33.9,No
11643,Garage,17,No
11644,Residential Building,18.5,No
11645,Commercial / Industrial Building,28.988,No
11646,Residential Building,19.8,No
11648,Residential Building,31.1,No
11650,Residential Building,24.6,No
11651,Garage,18.6,No
11652,Other Building,18.6,No
11653,Residential Building,34.6,No
11654,Residential Building,32.1,No
11655,Other Building,17.4,No
11656,Residential Building,20.6,No
11657,Residential Building,26.6,No
11658,Residential Building,26.3,No
11659,Residential Building,33.9,No
11661,Commercial / Industrial Building,35.5,No
11662,Residential Building,34.5,No
11666,Residential Building,32.4,No
11667,Residential Building,31.4,No
11668,Garage,20.315,No
11669,Other Building,17.6,No
11670,Residential Building,34,No
11671,Residential Building,38,No
11672,Residential Building,20.2,No
11673,Other Building,19,No
11674,Garage,19,No
11675,Garage,19.2,No
11676,Commercial / Industrial Building,34.6,No
11677,Other Building,15.9,No
11678,Residential Building,22.3,No
11679,Residential Building,34,No
11680,Other Building,17,No
11681,Garage,18.1,No
11682,Residential Building,20.7,No
11683,Other Building,37.817,No
11684,Residential Building,32.4,No
11685,Garage,19,No
11686,Garage,16.1,No
11687,Residential Building,27.5,No
11688,Residential Building,30.1,No
11689,Other Building,15.2,No
11690,Garage,19,No
11692,Commercial / Industrial Building,30.1,No
11693,Commercial / Industrial Building,38.3,No
11694,Other Building,18.994,No
11695,Residential Building,22.177,No
11696,Other Building,19.2,No
11697,Commercial / Industrial Building,27.4,No
11698,Garage,15.9,No
11699,Garage,18.6,No
11700,Residential Building,0,No
11701,Residential Building,27.1,No
11703,Commercial / Industrial Building,28.6,No
11704,Garage,17.5,No
11705,Garage,17.4,No
11706,Garage,18.8,No
11707,Commercial / Industrial Building,27.9,No
11708,Garage,22,No
11709,Garage,17.8,No
11710,Other Building,20.547,No
11711,Other Building,25.6,No
11712,Residential Building,23.3,No
11713,Residential Building,21.9,No
11714,Residential Building,27,No
11715,Garage,21,No
11716,Commercial / Industrial Building,30.024,No
11717,Residential Building,21.3,No
11718,Residential Building,39.012,No
11720,Residential Building,20.5,No
11722,Other Building,20.4,No
11723,Residential Building,20.8,No
11724,Residential Building,22.6,No
11726,Residential Building,27.4,No
11727,Garage,19.7,No
11728,Garage,15.2,No
11729,Residential Building,22.3,No
11730,Residential Building,17.8,No
11732,Residential Building,34.5,No
11733,Garage,23.4,No
11734,Residential Building,33.2,No
11735,Residential Building,26.9,No
11736,Residential Building,19.5,No
11737,Other Building,15.3,No
11738,Other Building,15.7,No
11739,Garage,20.4,No
11740,Residential Building,19.2,No
11742,Residential Building,37.817,No
11744,Residential Building,33,No
11745,Commercial / Industrial Building,0,No
11746,Residential Building,20,No
11747,Residential Building,18.8,No
11748,Garage,18.9,No
11751,Commercial / Industrial Building,55.032,No
11752,Garage,17.6,No
11754,Other Building,17.1,No
11755,Other Building,16.6,No
11756,Garage,18.8,No
11757,Garage,18.7,No
11758,Residential Building,21.3,No
