objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1223642","1015000","FCC: Antenna Structure Registration (GIS)","9/5/2003","36.8604","-76.350199","","3201A LOMBARDY AVE","PORTSMOUTH","VA","","51","740","4.084986","45.7","","5","","","CROWN ATLANTIC COMPANY, LLC","","","","","","","","","","","","","","","","",""
"1224493","1047860","FCC: Antenna Structure Registration (GIS)","9/2/1999","36.8395","-76.3314","","1001 VIRGINIA AVENUE","PORTSMOUTH","VA","","51","740","2.792691","92.3","","5","","","COX COMMUNICATIONS, INC.","","","","","","","","","","","","","","","","",""
"1223777","1016697","FCC: Antenna Structure Registration (GIS)","9/17/2010","36.8017","-76.3725","","I-264 EXIT 2","PORTSMOUTH","VA","","51","740","5.826869","48.1","","3","","","City of Portsmouth","","","","","","","","","","","","","","","","",""
"1223666","1016085","FCC: Antenna Structure Registration (GIS)","8/30/2010","36.8383","-76.3283","","ROUTE 58 &amp; Rt 141, London Bridge Blvd","PORTSMOUTH","VA","","51","740","2.77705","44.5","","6","","","Virginia, Commonwealth of, Dept Of Trans","","","","","","","","","","","","","","","","",""
"1223593","1009248","FCC: Antenna Structure Registration (GIS)","8/3/2009","36.8105","-76.3183","","GEO WASHINGTON HWY, 1500 FT. SW OF ELM AVE.","PORTSMOUTH","VA","","51","740","2.882388","36.6","","5","","","CROWN CASTLE GT COMPANY LLC","","","","","","","","","","","","","","","","",""
"1225906","1269968","FCC: Antenna Structure Registration (GIS)","8/21/2009","36.794","-76.3238","","1933 Victory Blvd","Portsmouth","VA","","51","740","3.016073","47.2","","5","","","TowerCo Assets LLC","","","","","","","","","","","","","","","","",""
"1225404","1244356","FCC: Antenna Structure Registration (GIS)","7/19/2004","36.8835","-76.372399","","Cedar Lane","Portsmouth","VA","","51","740","3.205377","61","","","","","Willis Broadcasting","","","","","","","","","","","","","","","","",""
"1225403","1244354","FCC: Antenna Structure Registration (GIS)","7/19/2004","36.8831","-76.3718","","Cedar Lane","Portsmouth","VA","","51","740","3.089591","61","","","","","Willis Broadcasting","","","","","","","","","","","","","","","","",""
"1224720","1064906","FCC: Antenna Structure Registration (GIS)","7/11/2001","36.8536","-76.3242","","2000 SEABOARD AVE","PORTSMOUTH","VA","","51","740","3.610856","18","","5","","","VIRGINIA INTERNATIONAL TERMINALS INC","","","","","","","","","","","","","","","","",""
"1224707","1064264","FCC: Antenna Structure Registration (GIS)","6/1/1999","36.8233","-76.3356","","2017 FREDERICK BLVD","PORTSMOUTH","VA","","51","740","4.879532","91.4","","3","","","PORTSMOUTH, CITY OF","","","","","","","","","","","","","","","","",""
