OBJECTID,WARD,WARD_REP,WEBSITE
4,1,Andrew A. Protogyrou,http://www.norfolk.gov/index.aspx?NID=536
2,4,Paul R. Riddick,http://www.norfolk.gov/index.aspx?NID=538
5,5,Tommy R Smigiel Jr.,http://www.norfolk.gov/index.aspx?NID=539
3,2,Theresa Whibley,http://www.norfolk.gov/index.aspx?NID=540
1,3,Mamie Johnson,http://www.norfolk.gov/index.aspx?NID=2932
