Name: “Table 1 of 1 on page 43 of 48”
Table: 43
""
4.4.8. quartz monzonite
4.4.9. monzonite
4.4.10. quartz monzodiorite
4.4.11. monzodiorite
4.4.12. quartz diorite
4.4.13. diorite
4.4.13.1. diabase
4.5. gabbroid
4.5.1. quartz monzogabbro
4.5.2. monzogabbro
4.5.3. quartz gabbro
4.5.4. gabbro
4.5.4.1. norite
4.5.4.2. troctolite
4.5.5. anorthosite
4.6. alkalic intrusive rock
4.6.1. nepheline syenite
4.7. ultramafic intrusive rock
4.7.1. peridotite
4.7.1.1. dunite
4.7.1.2. kimberlite
4.7.2. pyroxenite
4.7.3. hornblendite
4.8. intrusive carbonatite
5. metamorphic rock
5.1. hornfels
5.2. metasedimentary rock
5.2.1. meta-argillite
5.2.2. slate
5.2.3. quartzite
5.2.4. meta-conglomerate
5.2.5. marble
5.3. metavolcanic rock
5.3.1. felsic metavolcanic rock
5.3.1.1. meta-rhyolite
5.3.1.2. keratophyre
5.3.2. intermediate metavolcanic rock
40
