Name: “Table 1 of 1 on page 41 of 48”
Table: 41
""
2.1.4. medium-grained mixed clastic
2.1.5. conglomerate
2.1.6. sedimentary breccia
2.1.7. coarse-grained mixed clastic
2.1.8. olistostrome
2.1.8.1. mélange
2.2. carbonate
2.2.1. limestone
2.2.2. dolostone (dolomite)
2.3. mixed clastic/carbonate
2.4. mixed clastic/volcanic
2.5. phosphorite
2.6. chemical
2.6.1. evaporite
2.6.2. chert
2.6.3. novaculite
2.6.4. iron formation
2.6.5. exhalite
2.7. coal
2.8. mixed clastic/coal
3. volcanic rock (aphanitic)
3.1. glassy volcanic rock
3.1.1. obsidian
3.1.2. vitrophyre
3.1.3. pumice
3.2. pyroclastic
3.2.1. tuff
3.2.1.1. welded tuff
3.2.1.2. ash-flow tuff
3.2.2. ignimbrite
3.2.3. volcanic breccia (agglomerate)
3.3. lava flow
3.3.1. bimodal suite
3.4. felsic volcanic rock
3.4.1. alkali rhyolite
3.4.2. rhyolite
3.4.3. rhyodacite
38
