Name: “Table 1 of 1 on page 42 of 48”
Table: 42
""
3.4.4. dacite
3.4.5. alkali trachyte
3.4.6. trachyte
3.4.7. quartz latite
3.4.8. latite
3.5. intermediate volcanic rock
3.5.1. trachyandesite
3.5.2. andesite
3.6. mafic volcanic rock
3.6.1. trachybasalt
3.6.2. basalt
3.6.2.1. tholeiite
3.6.2.2. hawaiite
3.6.2.3. alkaline basalt
3.7. alkalic volcanic rock
3.7.1. phonolite
3.7.2. tephrite (basanite)
3.8. ultramafitite (komatiite)
3.9. volcanic carbonatite
4. plutonic rock (phaneritic)
4.1. aplite
4.2. porphyry
4.2.1. lamprophyre
4.3. pegmatite
4.4. granitoid
4.4.1. alkali-granite (alaskite)
4.4.2. granite
4.4.2.1. peraluminous granite
4.4.2.2. metaluminous granite
4.4.2.3. subaluminous granite
4.4.2.4. peralkaline granite
4.4.3. granodiorite
4.4.4. tonalite
4.4.4.1. trondhjemite
4.4.5. alkali syenite
4.4.6. quartz syenite
4.4.7. syenite
39
