Name: “Table 1 of 1 on page 40 of 48”
Table: 40
""
1.5.3. debris flow
1.5.4. landslide
1.5.5. talus
1.6. glacial drift
1.6.1. till
1.6.1.1. moraine
1.6.2. stratified glacial sediment
1.6.2.1. outwash
1.6.2.2. sub- and supra-glacial sediment
1.6.2.3. glaciolacustrine
1.6.2.4. glacial-marine
1.7. biogenic sediment
1.7.1. peat
1.7.2. coral
1.8. residuum
1.9. clay or mud
1.10. silt
1.11. sand
1.12. gravel
2. sedimentary rock
2.1. clastic
2.1.1. mudstone
2.1.1.1. claystone
2.1.1.1.1. bentonite
2.1.1.2. shale
2.1.1.2.1. black shale
2.1.1.2.2. oil shale
2.1.1.3. argillite
2.1.1.4. siltstone
2.1.2. fine-grained mixed clastic
2.1.3. sandstone
2.1.3.1. arenite
2.1.3.1.1. orthoquartzite
2.1.3.1.2. calcarenite
2.1.3.2. arkose
2.1.3.3. wacke
2.1.3.3.1. greywacke
37
