Name: “Table 1 of 1 on page 44 of 48”
Table: 44
""
5.3.3. mafic metavolcanic rock
5.3.3.1. meta-basalt
5.3.3.2. spilite
5.3.3.3. greenstone
5.4. phyllite
5.5. schist
5.5.1. greenschist
5.5.2. blueschist
5.5.3. mica schist
5.5.4. pelitic schist
5.5.5. quartz-feldspar schist
5.5.6. calc-silicate schist
5.5.7. amphibole schist
5.6. granofels
5.7. gneiss
5.7.1. felsic gneiss
5.7.1.1. granitic gneiss
5.7.1.1.1. biotite gneiss
5.7.2. mafic gneiss
5.7.3. orthogneiss
5.7.4. paragneiss
5.7.5. migmatite
5.8. amphibolite
5.9. granulite
5.10. eclogite
5.11. greisen
5.12. skarn (tactite)
5.13. calc-silicate rock
5.14. serpentinite
6. tectonite
6.1.1. tectonic mélange
6.1.2. tectonic breccia
6.1.3. cataclasite
6.1.4. phyllonite
6.1.5. mylonite
6.1.6. flaser gneiss
6.1.7. augen gneiss
41
