Name: “Table 1 of 1 on page 48 of 48”,Name: “Table 1 of 1 on page 48 of 48”
Table: 48,Table: 48
,
50,"Dike or sill, unspecified, drawn in heavy red line"
121,"Dike or sill , mafic"
122,"Dike or sill, felsic"
123,"Dike or sill, lamprophyre"
,ISOGRADS
160,Subchlorite to chlorite
161,Chlorite to biotite
162,Biotite to garnet
163,Garnet to staurolite
164,Staurolite to sillimanite
165,Sillimanite to sillimanite + orthoclase
,OTHER LINE TYPES
93,Lineament
7,Shoreline or riverbank
14,Caldera or crater rim
28,"Caldera or crater rim, inferred, concealed"
15,Ice contact (glacier limit)
13,Moraine or till margin (scour) on bedrock
0,Hidden lines
99,Bounding line (neatline) of coverage
124,State Boundary
125,International Boundary
,45
