OBJECTID,FLD_ZONE,FLOODWAY,STATIC_BFE,DEPTH,LEN_UNIT,SOURCE_CIT,Area_mi
1,AE, ,4,-9999,FEET,STUDY1,
2,AE, ,4,-9999,FEET,STUDY1,
3,AE, ,4,-9999,FEET,STUDY1,
6,AE, ,4,-9999,FEET,STUDY1,
7,AE, ,6,-9999,FEET,STUDY1,
4,A, ,-9999,-9999, ,STUDY1,
5,AE, ,-9999,-9999, ,STUDY2,
8,AE, ,7,-9999,FEET,STUDY1,
9,A, ,-9999,-9999, ,STUDY1,
12,AE, ,-9999,-9999, ,STUDY2,
10,AE, ,4,-9999,FEET,STUDY1,
11,AE, ,4,-9999,FEET,STUDY1,
13,AE, ,10,-9999,FEET,STUDY1,
14,AE, ,-9999,-9999, ,STUDY1,
15,AE,FLOODWAY,-9999,-9999, ,STUDY2,
16,AE, ,10,-9999,FEET,STUDY1,
19,AE, ,-9999,-9999, ,STUDY1,
17,AE, ,-9999,-9999, ,STUDY2,
18,AE, ,4,-9999,FEET,STUDY1,
21,AE, ,4,-9999,FEET,STUDY1,
20,AO, ,1,1,FEET,STUDY1,
23,AE, ,4,-9999,FEET,STUDY1,
24,AE, ,4,-9999,FEET,STUDY1,
22,AH, ,8,-9999,FEET,STUDY1,
26,AE, ,10,-9999,FEET,STUDY1,
27,AE, ,4,-9999,FEET,STUDY1,
28,AE, ,-9999,-9999, ,STUDY2,
29,AE, ,-9999,-9999, ,STUDY2,
31,AO, ,1,1,FEET,STUDY1,
30,AE, ,4,-9999,FEET,STUDY1,
25,VE, ,10,-9999,FEET,STUDY1,
32,AE, ,-9999,-9999, ,STUDY2,
34,AE, ,4,-9999,FEET,STUDY1,
33,AE, ,10,-9999,FEET,STUDY1,
36,AE, ,4,-9999,FEET,STUDY1,
37,AO, ,1,1,FEET,STUDY1,
35,AE, ,4,-9999,FEET,STUDY1,
38,AE, ,4,-9999,FEET,STUDY1,
39,AE, ,4,-9999,FEET,STUDY1,
40,AE, ,4,-9999,FEET,STUDY1,
41,A, ,-9999,-9999, ,STUDY1,
44,AE, ,4,-9999,FEET,STUDY1,
43,AE, ,10,-9999,FEET,STUDY1,
45,AE, ,4,-9999,FEET,STUDY1,
46,AE, ,4,-9999,FEET,STUDY1,
47,AE, ,4,-9999,FEET,STUDY1,
42,AE, ,10,-9999,FEET,STUDY1,
48,AE, ,4,-9999,FEET,STUDY1,
49,AE, ,4,-9999,FEET,STUDY1,
50,AE, ,4,-9999,FEET,STUDY1,
51,AE, ,4,-9999,FEET,STUDY1,
52,AE, ,4,-9999,FEET,STUDY1,
58,AE, ,4,-9999,FEET,STUDY1,
59,AE, ,4,-9999,FEET,STUDY1,
60,A, ,-9999,-9999, ,STUDY1,
61,AE, ,-9999,-9999, ,STUDY2,
62,VE, ,11,-9999,FEET,STUDY1,
53,A, ,-9999,-9999, ,STUDY1,
64,AE, ,4,-9999,FEET,STUDY1,
63,AE,FLOODWAY,-9999,-9999, ,STUDY2,
65,AO, ,2,2,FEET,STUDY1,
66,AO, ,1,1,FEET,STUDY1,
67,A, ,-9999,-9999, ,STUDY1,
68,AE, ,4,-9999,FEET,STUDY1,
69,A, ,-9999,-9999, ,STUDY1,
70,A, ,-9999,-9999, ,STUDY1,
71,AE, ,4,-9999,FEET,STUDY1,
73,AE, ,4,-9999,FEET,STUDY1,
72,AE, ,-9999,-9999, ,STUDY2,
74,AE, ,4,-9999,FEET,STUDY1,
75,AE, ,4,-9999,FEET,STUDY1,
77,AH, ,8,-9999,FEET,STUDY1,
78,AO, ,1,1,FEET,STUDY1,
76,AE, ,4,-9999,FEET,STUDY1,
79,AE, ,4,-9999,FEET,STUDY1,
80,AE, ,4,-9999,FEET,STUDY1,
81,A, ,-9999,-9999, ,STUDY1,
83,AO, ,2,2,FEET,STUDY1,
84,AE, ,10,-9999,FEET,STUDY1,
85,AE, ,4,-9999,FEET,STUDY1,
82,VE, ,12,-9999,FEET,STUDY1,
87,AE, ,4,-9999,FEET,STUDY1,
88,AE, ,6,-9999,FEET,STUDY1,
89,A, ,-9999,-9999, ,STUDY1,
90,A, ,-9999,-9999, ,STUDY1,
86,AE, ,-9999,-9999, ,STUDY2,
91,AE, ,4,-9999,FEET,STUDY1,
92,AE, ,4,-9999,FEET,STUDY1,
93,AE, ,4,-9999,FEET,STUDY1,
94,AE, ,4,-9999,FEET,STUDY1,
95,AE, ,10,-9999,FEET,STUDY1,
96,AO, ,1,1,FEET,STUDY1,
99,AE, ,4,-9999,FEET,STUDY1,
98,AO, ,1,1,FEET,STUDY1,
97,AE, ,4,-9999,FEET,STUDY1,
101,AE, ,4,-9999,FEET,STUDY1,
100,AE, ,4,-9999,FEET,STUDY1,
102,AE, ,4,-9999,FEET,STUDY1,
103,A, ,-9999,-9999, ,STUDY1,
104,A, ,-9999,-9999, ,STUDY1,
105,A, ,-9999,-9999, ,STUDY1,
106,AE, ,4,-9999,FEET,STUDY1,
107,AE,FLOODWAY,-9999,-9999, ,STUDY2,
108,AE, ,4,-9999,FEET,STUDY1,
109,A, ,-9999,-9999, ,STUDY1,
56,AE, ,4,-9999,FEET,STUDY1,
110,AE, ,4,-9999,FEET,STUDY1,
112,AE, ,4,-9999,FEET,STUDY1,
111,AE, ,4,-9999,FEET,STUDY1,
114,AE, ,4,-9999,FEET,STUDY1,
115,A, ,-9999,-9999, ,STUDY1,
116,AE, ,4,-9999,FEET,STUDY1,
117,AE, ,-9999,-9999, ,STUDY2,
118,AE, ,4,-9999,FEET,STUDY1,
119,AE, ,10,-9999,FEET,STUDY1,
113,AE, ,-9999,-9999, ,STUDY1,
120,AE, ,6,-9999,FEET,STUDY1,
121,AE, ,-9999,-9999, ,STUDY1,
122,AE, ,4,-9999,FEET,STUDY1,
123,AE, ,4,-9999,FEET,STUDY1,
124,AE, ,4,-9999,FEET,STUDY1,
125,AE, ,9,-9999,FEET,STUDY1,
126,AE, ,4,-9999,FEET,STUDY1,
127,AE, ,-9999,-9999, ,STUDY2,
128,AO, ,1,1,FEET,STUDY1,
129,AE, ,4,-9999,FEET,STUDY1,
130,AH, ,8,-9999,FEET,STUDY1,
131,AE, ,4,-9999,FEET,STUDY1,
132,AE, ,4,-9999,FEET,STUDY1,
134,AE, ,4,-9999,FEET,STUDY1,
135,AE, ,8,-9999,FEET,STUDY2,
133,AE, ,4,-9999,FEET,STUDY1,
136,AE, ,4,-9999,FEET,STUDY1,
55,AE, ,4,-9999,FEET,STUDY1,
138,AE, ,4,-9999,FEET,STUDY1,
137,AE, ,4,-9999,FEET,STUDY1,
139,AE, ,4,-9999,FEET,STUDY1,
140,A, ,-9999,-9999, ,STUDY1,
141,A, ,-9999,-9999, ,STUDY1,
142,AH, ,8,-9999,FEET,STUDY1,
143,A, ,-9999,-9999, ,STUDY1,
