OBJECTID,Layer,Shapelen
12,Level 1,98.5099507471576
13,Level 1,99.9411887394844
14,Level 1,103.561783196323
15,Level 1,95.6546255878436
1,Level 1,37989.2683613412
7,Level 1,38202.0187851799
6,Level 1,96.7362238687823
