FID,SAPNAME
1,Taylor Run
2,Southwest Quadrant
3,Seminary Hill
5,Potomac West
6,Old Town North
8,North Ridge/Rosemont
10,Fairlington/Bradlee
9,Landmark/Van Dorn
7,Old Town
4,Potomac Yard/Potomac Greens
12,Braddock Road Metro Station
11,Alexandria West
13,Northeast
14,Eisenhower East
15,King St Metro/Eisenhower Av
17,Beauregard
16,Potomac Yard North
18,Waterfront
