X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,CATEGORY,NOTE_
-76.111559479141633,36.804685507024431,19,14862146150000,Green Run High School,1700 DAHLIA DR,http://www.greenrunhs.vbschools.com,3461290.30877122,12182120.0660089,36.80467821,-76.11155792,High School,SCHOOLS,Green Run High SchoolHigh School
-76.100929116106656,36.780204348899666,30,14855225160000,Landstown High School,2001 CONCERT DR,http://www.landstownhs.vbschools.com,3452458.88220838,12185457.8641233,36.78019706,-76.10092756,High School,SCHOOLS,Landstown High SchoolHigh School
-76.128457185792954,36.844209422713334,32,14777694480000,Princess Anne High School,4400 VIRGINIA BEACH BLVD,http://www.princessannehs.vbschools.com,3475551.10898971,12176812.9411245,36.84420212,-76.12845562,High School,SCHOOLS,Princess Anne High SchoolHigh School
-76.150611873911146,36.86978825845204,35,14689496160000,Bayside High School,4960 HAYGOOD RD,http://www.baysidehs.vbschools.com,3484699.00604821,12170100.2481851,36.86978095,-76.1506103,High School,SCHOOLS,Bayside High SchoolHigh School
-76.061471666483968,36.744997610746445,38,14937900820000,Floyd E. Kellam High School,2665 West Neck Rd, ,3439940.97351722,12197341.0486902,36.74499032,-76.06147013,High School,SCHOOLS,Floyd E. Kellam High SchoolHigh School
-76.14352577160885,36.78280227505531,39,14752363780000,Salem High School,1993 SUNDEVIL DR,http://www.salemhs.vbschools.com,3453090.2664443,12172962.9261867,36.78279498,-76.14352421,High School,SCHOOLS,Salem High SchoolHigh School
-76.181419261508424,36.784798886041074,55,14651344580000,Tallwood High School,1668 KEMPSVILLE RD,http://www.tallwoodhs.vbschools.com,3453542.22551413,12161850.9851561,36.78479159,-76.18141768,High School,SCHOOLS,Tallwood High SchoolHigh School
-76.159477968185982,36.843424662703676,60,14677479960000,Renaissance Academy,5100 Cleveland St.,http://www.renacademy.vbschools.com/,3475038.95581455,12167745.4484327,36.84341736,-76.15947639,High School,SCHOOLS,Renaissance AcademyHigh School
-76.157083183606019,36.820504142198985,74,14668684650000,Kempsville High School,5194 CHIEF TRL,http://www.kempsvillehs.vbschools.com,3466713.89700538,12168653.0958956,36.82049684,-76.15708161,High School,SCHOOLS,Kempsville High SchoolHigh School
-75.981457791676164,36.771540767733896,84,24250030930000,Ocean Lakes High School,885 SCHUMANN DR,http://www.oceanlakeshs.vbschools.com,3450216.95263713,12220519.7155874,36.77153347,-75.98145628,High School,SCHOOLS,Ocean Lakes High SchoolHigh School
-76.029102214608812,36.873415537993807,87,24085770540000,First Colonial High School,1272 MILL DAM RD,http://www.firstcolonialhs.vbschools.com,3486926.55343038,12205598.6663613,36.87340822,-76.02910068,High School,SCHOOLS,First Colonial High SchoolHigh School
-76.051844102682125,36.887383663874594,88,14998186570000,Cox High School,2425 SHOREHAVEN DR,http://www.coxhs.vbschools.com,3491837.1338323,12198816.8108306,36.88737635,-76.05184256,High School,SCHOOLS,Cox High SchoolHigh School
