OBJECTID,IND_PARK_N
1,Lakeview Corporate Park
2,Corporate Landing Business Park
3,Lynnhaven Industrial Park
4,Centre Pointe Office Park
5,Airport Industrial Park
6,Town Center
7,Oceana West Industrial Park
8,Oceana West Industrial Park (Mall)
9,Taylor Farms Industrial Park (Private)
10,Oceana South Industrial Park (Private)
