OBJECTID,STFID,GROUP_NO,TRACT,BLOCK,BLOCK_GROUP,FULLSTFID,SHAPEarea,SHAPElen
2168,0410033001,3,041003,3001,0410033,518100410033001,37487.198222,747.585034
2169,0460063001,3,046006,3001,0460063,518100460063001,252390.949525,2447.728569
2170,0420003010,3,042000,3010,0420003,518100420003010,174397.892122,2600.603015
2171,0410041014,1,041004,1014,0410041,518100410041014,30178.81439,825.16741
2172,0438004032,4,043800,4032,0438004,518100438004032,9038.053517,392.802811
2173,0460102000,2,046010,2000,0460102,518100460102000,464018.63794,2757.383911
2174,0430011017,1,043001,1017,0430011,518100430011017,14807.339292,491.821749
2175,0418022006,2,041802,2006,0418022,518100418022006,9744.314812,399.510589
2176,0412003003,3,041200,3003,0412003,518100412003003,143066.376137,1800.320429
2177,0410034012,4,041003,4012,0410034,518100410034012,27813.745831,784.126148
2872,0454121011,1,045412,1011,0454121,518100454121011,132206.602265,2675.906426
2873,0436001022,1,043600,1022,0436001,518100436001022,17711.398581,533.56174
2874,0440025028,5,044002,5028,0440025,518100440025028,19828.799702,563.663963
2875,0440027013,7,044002,7013,0440027,518100440027013,20189.834993,615.734539
2876,0412002997,2,041200,2997,0412002,518100412002997,23308.414596,1027.984359
2877,0428011016,1,042801,1016,0428011,518100428011016,50135.358773,887.821435
2878,0454203006,3,045420,3006,0454203,518100454203006,143670.906715,1617.499041
2879,0428015011,5,042801,5011,0428015,518100428015011,29557.249141,779.458442
2880,0460132000,2,046013,2000,0460132,518100460132000,626480.880638,4814.959371
2881,0448051002,1,044805,1002,0448051,518100448051002,81136.827229,1309.87681
2882,0444013007,3,044401,3007,0444013,518100444013007,38111.101393,783.457666
2883,0454102037,2,045410,2037,0454102,518100454102037,14791.039862,489.96197
2884,0436001026,1,043600,1026,0436001,518100436001026,11924.54001,439.812908
2885,0404024004,4,040402,4004,0404024,518100404024004,135939.536659,1780.34484
2886,0438001021,1,043800,1021,0438001,518100438001021,82702.912864,1339.535143
2887,0448083009,3,044808,3009,0448083,518100448083009,255325.932211,2309.12819
2888,0404042007,2,040404,2007,0404042,518100404042007,57523.118855,1008.117644
2889,0448062011,2,044806,2011,0448062,518100448062011,26298.163565,700.594839
2890,0440023000,3,044002,3000,0440023,518100440023000,36057.696224,812.234753
2891,0460083015,3,046008,3015,0460083,518100460083015,313888.423784,2532.654843
2892,0422011002,1,042201,1002,0422011,518100422011002,51559.332465,944.659564
2893,0454182999,2,045418,2999,0454182,518100454182999,432661.222547,6085.60888
2894,0426001016,1,042600,1016,0426001,518100426001016,36779.003217,889.204714
2895,0454121046,1,045412,1046,0454121,518100454121046,6341.975583,339.006518
2896,0428013006,3,042801,3006,0428013,518100428013006,28470.340494,784.675676
2897,0438003033,3,043800,3033,0438003,518100438003033,12060.394081,449.826214
2898,0404023000,3,040402,3000,0404023,518100404023000,117138.21532,1801.171868
2899,0418021024,1,041802,1024,0418021,518100418021024,21660.552374,601.093285
2900,0438003016,3,043800,3016,0438003,518100438003016,153996.254146,1571.501933
2901,0440027019,7,044002,7019,0440027,518100440027019,20358.191705,751.175671
2902,0462124013,4,046212,4013,0462124,518100462124013,12538.686762,495.456107
2903,0454063017,3,045406,3017,0454063,518100454063017,67544.293906,1029.730742
2904,0440013006,3,044001,3006,0440013,518100440013006,11642.291733,458.170455
2905,0418024998,4,041802,4998,0418024,518100418024998,22286.378332,697.841928
2906,0410043023,3,041004,3023,0410043,518100410043023,49984.405256,893.553351
2907,0462188005,8,046218,8005,0462188,518100462188005,40646.31916,828.684461
2908,0430021001,1,043002,1001,0430021,518100430021001,425168.820324,2656.032338
2909,0462042017,2,046204,2017,0462042,518100462042017,70781.11143,1084.704756
2910,0440013005,3,044001,3005,0440013,518100440013005,6039.136484,306.998675
2911,0462051011,1,046205,1011,0462051,518100462051011,61237.967998,1044.371198
2912,0454121019,1,045412,1019,0454121,518100454121019,37363.024625,944.557666
2913,0462042006,2,046204,2006,0462042,518100462042006,39526.270804,943.128033
2914,0454055004,5,045405,5004,0454055,518100454055004,34847.680661,754.711479
2915,0422012000,2,042201,2000,0422012,518100422012000,73033.744591,1260.451744
2916,0460131004,1,046013,1004,0460131,518100460131004,16131.510949,504.182799
2917,0456011013,1,045601,1013,0456011,518100456011013,119466.350701,2541.320558
2918,0454101010,1,045410,1010,0454101,518100454101010,114336.093394,1898.069311
2919,0402004012,4,040200,4012,0402004,518100402004012,14614.260026,590.742824
2920,0410031005,1,041003,1005,0410031,518100410031005,37554.421697,924.686346
2921,0420003009,3,042000,3009,0420003,518100420003009,247590.695913,3805.592927
2922,0456023007,3,045602,3007,0456023,518100456023007,2194.12221,188.05535
2923,0460094014,4,046009,4014,0460094,518100460094014,32993.27583,721.244999
2924,0440021023,1,044002,1023,0440021,518100440021023,14296.302262,558.030004
2925,0440012005,2,044001,2005,0440012,518100440012005,18656.552542,543.834701
2926,0440025999,5,044002,5999,0440025,518100440025999,3170640.729196,7822.775151
2927,0436001018,1,043600,1018,0436001,518100436001018,22139.552627,608.944075
2928,0434002003,2,043400,2003,0434002,518100434002003,40067.879943,838.943696
2929,0414003001,3,041400,3001,0414003,518100414003001,126837.347739,2903.414324
2930,0460091014,1,046009,1014,0460091,518100460091014,34553.518943,811.778635
2931,0460054001,4,046005,4001,0460054,518100460054001,16446.815536,532.667014
2932,0460092006,2,046009,2006,0460092,518100460092006,31655.164627,825.167726
2933,0430011001,1,043001,1001,0430011,518100430011001,7649.5718,356.562029
