X,Y,OBJECTID,UNITID,COMPKEY,COMPTYPE,ADDRKEY,STKEY,SEGKEY,MAPNO,SUBAREA,MISC_AREA,XCOORD,YCOORD,HYD_ID,MAJOR,PIPEOF,SHAPE_1,TWIDTH,BWIDTH,HEIGHT,MATERIAL,MISC_TYPE,ORIG_TABLE,STRUC_ID,TOP_ELEV,EAST_PIPE,WEST_PIPE,NORTH_PIPE,SOUTH_PIPE,YEAR_BUILT,P_CONF,STRUCT_NAME,SURVEY_ID,BMP_ID,WATERSHED,STRUC_TYPE
-75.994951407118464,36.831467043955456,1001,CGB OD775,91037,72,0,,0, , , ,12216011.6742,3471929.61694, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-76.114496743745221,36.909507507296169,1,SP28,1271518,72,0,,0, , , ,12180317.698,3499427.85514, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,LAKE JOYCE, , ,0, 
-75.995758923388607,36.831813430124093,1002,CGB OD776,91038,72,0,,0, , , ,12215772.1019,3472049.52109, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-75.996319043629541,36.831864269889785,1003,CGB OD777,91039,72,0,,0, , , ,12215607.7136,3472063.54603, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-76.123962980003512,36.876926590853635,2,SP18,1271509,72,51450,,99049,F05,BAY,362,12177907.5261,3487473.21921, ,YES, , ,0,0,3.01, ,,SURVEY,SP18,3.01,0,3.01,0,0, ,SURVEY,WISHART COVE, , ,0,SPILLWAY
-75.996657103925457,36.831937741876359,1004,CGB OD778,91040,72,0,,0, , , ,12215508.1688,3472087.81681, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-76.121014254693506,36.868390191987949,3,SP47,1271532,72,0,,0, , , ,12178772.4604,3484399.05508, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,THOROUGHGOOD LAKE 4, , ,0, 
-75.996694690335246,36.831830504460505,1005,CGB OD779,91041,72,0,,0, , , ,12215498.0832,3472048.32988, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-76.121079054666481,36.862387647898338,4,D01113,1264922,72,0,,0, , , ,12178826.0374,3482229.1868, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,PEMBROKE MEADOWS WAYSIDE, , ,0, 
-75.996728152579607,36.831751041572197,1006,CGB OD7710,91042,72,0,,0, , , ,12215487.248,34720136.0621, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-76.127718894596939,36.855088383977723,5,SP01112,1271486,72,0,,0, , , ,12176950.8426,3479523.54858, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,EAST LAKE PEMBROKE, , ,0, 
-75.997471579444095,36.832019207728266,1007,CGB OD7711,91043,72,0,,0, , , ,12215269.0362,3472111.13307, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,GOOSE LANDING DITCH, , ,0, 
-76.098222761650192,36.867269586643751,6,SP27,1271517,72,0,,0, , , ,12185465.3937,3484175.40228, , , , ,0,0,0, ,, , ,0,0,0,0,0, , ,QUEENS LAKE, , ,0, 
