OBJECTID,TAX_ACCT,GPIN,LRSN,SHAPEarea
11602,08126500,1448365357,11441,7420.696493
10112,07066600,1436399053,9979,2653.088489
11603,08127600,1437705198,11442,5215.235757
10113,07067100,1438950666,9980,4205.050962
11604,08127800,1531098058,11443,7586.148496
10114,07068000,1540128496,9981,16348.372178
11605,08129250,1438763896,11444,3883.657313
10116,07070700,1540127600,9983,15955.894347
11606,08130900,1457075578,11445,12785.456816
10117,07070900,1467090633,9984,5238.844483
11607,08131500,1449073333,11446,7247.718375
10119,07071600,1439078052,9986,26238.552193
11608,08131600,1436770780,11447,7262.66914
10120,07071700,1439067930,9987,4514.486396
11609,08131900,1428987922,11448,5535.288057
10121,07072600,1438896329,9988,6034.448369
11610,08134200,1438323253,11449,3259.444924
10122,07073300,1429396547,9989,8145.332463
11611,08136000,1437200595,11450,2500.918191
10123,07076300,1448266281,9990,4283.006529
11612,08136200,1439453607,11451,20373.751124
10124,07076500,1449644112,9991,5269.480911
10127,07077600,1438874317,9994,5575.730268
11613,08137800,1428636033,11453,6792.735604
10128,07078100,1531908881,9995,5096.667958
11614,08138500,1438885509,11454,6343.52027
10130,07079900,1550044509,9997,8018.341193
11616,08140500,1447567004,11456,8700.123353
10131,07080000,1457898961,9998,40001.395135
11617,08141010,1429544642,11457,6027.852721
11618,08141700,1436597728,11458,3178.056772
10133,07080805,1449069719,10000,6979.418413
11619,08143200,1540987786,11459,20015.882971
10134,07081700,1447077713,10001,10213.291373
11620,08146000,1436288304,11460,2782.277362
10135,07082000,1449071396,10002,8714.689475
11621,08146800,1438788036,11461,6446.414691
10136,07082200,1457053248,10003,10101.910189
11622,08148800,1459196952,11462,9531.448398
10137,07082600,1436484586,10004,3069.482389
11662,08216400,1439635397,11540,11682.804871
10138,07082800,1437217675,10005,3544.827611
11663,08217200,1438949114,11541,5087.638618
10139,07083000,1436399388,10006,2769.845126
11665,08217800,1438081272,11543,2986.063133
10140,07083100,1436399367,10007,2783.3468
11666,08217850,1449160695,11544,6987.474837
10141,07083500,1449236465,10008,7415.957628
11667,08218200,1438758229,11545,3273.166996
10142,07088010,1436597050,10009,11095.292663
11668,08219100,1448087559,11546,8687.434701
10143,07088300,1436675908,10010,5520.137589
10144,07089200,1437775664,10011,1609.69305
11672,08225800,1447085335,11550,6477.664802
10145,07089400,1550025437,10012,7737.231662
11673,08226000,1457025620,11551,27699.932349
10146,07089700,1458055496,10013,12508.815187
11674,08227700,1437836628,11552,7221.356445
10148,07091050,1458032945,10015,5925.331797
11675,08228600,1459130105,11553,15508.515701
10150,07331030,1457725914,10333,8037.991887
11676,08229500,1449779299,11554,14440.617973
10151,07333300,1436596401,10334,6413.086428
11677,08230400,1550140778,11555,13116.923931
10152,07334200,1447045356,10335,4490.565027
11678,08231301,1448030465,11556,3869.403078
10153,07334500,1447985281,10336,13511.073789
11679,08231325,1531703561,11557,6196.403312
10154,07335500,1439334458,10337,19289.494501
11680,08231600,1448171542,11558,6556.410427
10155,07336000,1429200122,10338,5219.54142
10156,07337510,1449099409,10339,19553.836508
11681,08232200,1439135053,11559,15718.380994
11682,08232650,1428992670,11560,5631.77551
10157,07338400,1540271858,10340,7445.700551
11683,08232850,1429797724,11561,4993.540886
10158,07338500,1429622737,10341,5484.964917
11684,08233700,1429319865,11562,5096.978576
10159,07338700,1449847297,10342,6469.924981
11686,08235300,1550019257,11564,7886.778095
10160,07338900,1449632196,10343,9740.735194
11687,08235800,1437789200,11565,8323.782495
10161,07340500,1429626830,10344,7203.863108
11688,08235810,1437789206,75665,4049.820385
10162,07346400,1438525479,10345,2549.140476
11689,08235900,1550501963,11566,12812.885416
10163,07349101,1449107550,10346,6282.637131
11623,08181072,1550662763,75056,5733.195637
10164,07353500,1449846774,10347,7372.410015
11624,08181074,1550663713,75057,5913.071666
10165,07353900,1550737222,10348,6037.495577
11625,08181076,1550663762,75058,5916.083618
10167,07355000,1438795917,10350,7747.258091
11626,08181200,1531856248,11504,2494.616658
10168,07355900,1540383756,10351,11413.808321
11627,08181205,1531856229,11505,2535.617767
11628,08181300,1449641693,11506,1455.258051
10169,07357000,1436293565,10352,3514.463932
11629,08181700,1447072800,11507,5325.550992
10170,07357995,1531730820,10353,9924.720931
11630,08181800,1449642840,11508,2238.287742
10172,07359500,1540069623,10355,19242.444116
11631,08181825,1438091374,11509,4245.471558
10173,07360700,1449635554,10356,4973.439831
11634,08183300,1550822648,11512,6212.58607
10174,07360705,1449635503,10357,4967.467182
11635,08185000,1438052577,11513,4529.555572
10175,07360710,1449634551,10358,5011.651318
11636,08185575,1457106919,11514,188859.460544
10176,07360715,1449634500,10359,5053.880336
10177,07360720,1449633458,10360,5101.648126
11637,08187000,1530739425,11515,7279.59225
11638,08187500,1540027264,11516,9128.575566
10178,07361000,1449133076,10361,6484.72171
11639,08188400,1520709775,11517,3377.700436
10179,07361305,1439340219,10362,13133.548453
10188,07370700,1439650879,10371,87235.473092
11640,08189200,1540034754,11518,10110.368775
10189,07371200,1540320678,10372,7200.006311
11641,08189500,1530897438,11519,7524.209995
11642,08189650,1449813574,11520,6207.656626
10190,07372200,1449701234,10373,6352.407675
11643,08190200,1449781931,11521,7880.589821
10191,07372600,1458044251,10374,6584.824294
11644,08194000,1531439197,11522,4990.337384
10192,07373000,1458032645,10375,5906.761406
11645,08194001,1531439178,11523,2501.548996
10193,08410700,1448291842,11774,2644.383087
11646,08195100,1449426568,11524,10202.643799
10195,08412000,1540703394,11780,8885.143546
11647,08198701,1531939717,11525,6863.312869
10196,08413800,1449406655,11781,5142.129323
11648,08199600,1521881972,11526,5180.959498
10197,08413900,1449406673,11782,2470.26553
11649,08199700,1521891395,11527,5880.84609
10198,08414000,1449406681,11783,2533.319628
11653,08208200,1447040775,11531,6056.78866
10200,08415200,1449293828,11785,7445.000312
11656,08211000,1520905063,11534,6687.911684
10201,08415400,1531763714,11786,6780.530826
11659,08214000,1429993983,11537,7131.781068
10442,07189900,1438432467,10138,2570.762857
11660,08214600,1429325011,11538,6508.574245
10443,07190900,1438431593,10139,3918.315012
11661,08214800,1428802861,11539,2492.316007
10444,07191800,1438432511,10140,4173.021663
11052,07689200,1540184063,10825,13125.030772
10445,07193600,1457424471,10142,28415.76726
11053,07691500,1540280099,10826,6575.999703
10446,07194500,1428876691,10143,4290.621705
11054,07691800,1449947015,10827,9030.327956
10447,07197200,1540815221,10144,11662.4062
11055,07693300,1429534614,10828,4907.007963
10449,07199000,1428877742,10146,5711.906055
11056,07694000,1540727027,10829,9193.522948
10450,07199500,1449495021,10147,6037.717315
11057,07694200,1531604934,10830,5107.773578
10451,07199900,1447757531,10148,8028.915613
11058,07694250,1531620764,10831,5438.458306
10452,07200800,1438317150,10149,3367.268665
11059,07694700,1438650475,10832,5452.670525
10453,07200900,1438317062,10150,5192.93632
11060,07695101,1457443877,10833,17255.630296
11061,07696000,1438313421,10834,2340.169903
10454,07201800,1437814290,10151,5258.174005
11062,07696100,1438315077,10835,3372.599866
10455,07202700,1439609088,10152,7914.249951
11063,07696990,1436399722,10836,2596.421577
10457,07203850,1437773528,10154,2247.72773
11064,07697000,1436399658,10837,5103.867469
10458,07203855,1438220782,10155,9947.613839
11065,07697025,1436399730,10838,2500.566935
11066,07697900,1438313411,10839,282.940303
10459,07203859,1438220710,10156,3427.152786
11067,07698800,1436290182,10840,2641.283603
11068,07698900,1436291112,10841,3639.713494
10460,07203860,1530714390,10157,8081.640782
11069,07699000,1437210107,10842,5398.383961
11070,07699100,1437210222,10843,3575.005525
10461,07203900,1540922812,10158,12914.683287
11071,07699200,1437210119,10844,2703.370799
