OBJECTID,STATE10,COUNTY10,TRACT10,BLOCK10,GEOID10,ALAND10,AWATER10,Shape_Length,Shape_Area
1001,51,510,201600,1009,515102016001009,69651,0,3853.17885806543,749643.038072328
1002,51,510,201900,2004,515102019002004,12091,0,1458.35617454816,130133.660713285
1003,51,510,201801,3004,515102018013004,3780,0,1018.16618934296,40686.8665745043
1004,51,510,201300,3013,515102013003013,21043,0,1970.51053476881,226480.767858501
1005,51,510,201300,2001,515102013002001,4740,0,1220.58507224688,51020.2496064451
1006,51,510,201600,1011,515102016001011,27955,0,3870.2751640697,300877.765557701
1007,51,510,201600,2014,515102016002014,12239,0,1467.78770356396,131723.253540841
1008,51,510,201600,1001,515102016001001,12077,0,1457.31083492806,129983.415178589
1009,51,510,201801,2027,515102018012027,9752,0,1318.80774009609,104963.487106086
1010,51,510,201801,1007,515102018011007,495,0,363.509578185987,5331.84828942645
1011,51,510,201801,3022,515102018013022,1083,0,570.476079912614,11659.799340771
1012,51,510,201801,4025,515102018014025,12237,0,1466.97575021502,131705.490100535
1013,51,510,201802,1007,515102018021007,12905,0,1501.61108877754,138891.046537441
1014,51,510,201801,3020,515102018013020,25228,0,2326.16973914213,271522.643706718
1015,51,510,201801,4016,515102018014016,12306,0,1471.17632054638,132445.499304955
1016,51,510,201100,2009,515102011002009,903,0,350.388546661797,9722.73082947564
1017,51,510,201100,1005,515102011001005,5347,0,1160.08197519671,57544.7146668138
1018,51,510,201203,3002,515102012033002,45601,0,3675.26156278075,490796.944762478
1019,51,510,201204,2002,515102012042002,10913,0,1586.7208645173,117453.539905462
1020,51,510,201202,3000,515102012023000,13561,0,1648.65241874599,145951.646812751
1021,51,510,200900,2018,515102009002018,8709,0,1320.41566984256,93735.0468494034
1022,51,510,200900,4010,515102009004010,28476,0,2594.14572368012,306486.325892555
1023,51,510,200900,3009,515102009003009,127125,0,5805.41480969553,1368231.67331213
1024,51,510,200900,3008,515102009003008,11657,0,1456.77941396534,125462.360235798
1025,51,510,200900,3003,515102009003003,56746,0,4918.19329931966,610749.406729047
1026,51,510,200801,2015,515102008012015,16980,0,1956.9679347479,182752.617526222
1027,51,510,200801,2028,515102008012028,44296,0,2994.9550211866,476748.313834249
1028,51,510,200801,2017,515102008012017,13375,0,1634.05485177917,143956.717946757
1029,51,510,201202,2001,515102012022001,24654,0,2439.26393924947,265349.229490322
1030,51,510,201202,3003,515102012023003,30166,0,2346.56719194979,324677.310527047
1031,51,510,201202,3005,515102012023005,14421,0,1758.17902034865,155212.576312232
1032,51,510,201300,1001,515102013001001,23135,0,2505.87125638612,249002.032787572
1033,51,510,201400,1014,515102014001014,11445,0,1454.54249432019,123186.319315443
1034,51,510,201300,2016,515102013002016,14383,0,1679.68213756197,154807.258578687
1035,51,510,200900,3020,515102009003020,5160,0,1099.57514883889,55540.4368360962
1036,51,510,201400,2005,515102014002005,20228,0,1974.54808710382,217714.6328844
1037,51,510,201400,4006,515102014004006,3141,0,879.575561906395,33801.0763378204
1038,51,510,201500,2002,515102015002002,19903,0,2266.48883322884,214211.078834508
1039,51,510,201801,3010,515102018013010,16271,0,1785.18699678858,175120.859105386
1040,51,510,200105,2000,515102001052000,116718,0,4343.17962899146,1256221.60612938
1041,51,510,200303,3000,515102003033000,59163,0,3869.97896903813,636770.270980084
1042,51,510,200405,2000,515102004052000,124710,0,5148.73085620913,1342240.57998407
1043,51,510,200302,3001,515102003023001,9100,0,1657.09677219383,97941.6929311537
1044,51,510,201801,2006,515102018012006,39541,0,3096.42996523919,425575.477522455
1045,51,510,201801,2014,515102018012014,5627,0,1013.00910189896,60565.0852332301
1046,51,510,201802,1010,515102018021010,6232,0,1056.50911081397,67072.6401336971
1047,51,510,200702,1000,515102007021000,143963,0,8184.91676619811,1549450.63180725
1048,51,510,200801,2011,515102008012011,117251,0,6151.47558827813,1261961.72757536
1049,51,510,200201,1008,515102002011008,26784,0,4220.43212541896,288278.394554404
1050,51,510,200702,1014,515102007021014,7720,0,2748.55385017011,83090.9734144133
1051,51,510,201900,2024,515102019002024,17902,0,1776.69822946404,192673.492782658
1052,51,510,200303,1001,515102003031001,299380,0,8370.31364766732,3222190.73481393
