X,Y,OBJECTID,UNITID,NORTHING,EASTING,COMPKEY,COMPTYPE,IT_NAME
-75.976712769072876,36.857594922715506,1,ST0028,3481573.86958,12221071.7152,1737471,16,ST22007
-75.976428348080901,36.856639954471248,2,ST0027,3481228.52845,12221164.1922,1737472,16,ST22006
-75.976138759979378,36.855656764099407,3,ST0026,3480872.95663,12221258.4572,1737473,16,ST22005
-75.975857112086643,36.854707517687068,4,ST0025,3480529.67692,12221350.0717,1737474,16,ST22004
-75.975569131969493,36.853688382358555,5,ST0024,3480161.01054,12221444.2207,1737475,16,ST22003
-75.975276233576196,36.852639239473469,6,ST0023,3479781.46182,12221540.1025,1737476,16,ST22002
-75.974928860445701,36.851410074686676,7,ST0022,3479336.81983,12221653.6731,1737477,16,ST22001
-75.974641802000022,36.850391593384771,8,ST0021,3478968.38537,12221747.5532,1737478,16,ST2002
-75.974369624147059,36.84940510293594,9,ST0020,3478611.478,12221836.7716,1737479,16,ST2001
-75.972231786484414,36.841797155184572,10,ST0013,3475859.27417,12222536.2453,1737480,16,ST1003
-75.971971926330625,36.84074028169595,11,ST0012,3475476.65669,12222622.5648,1737481,16,ST1002
-75.971747740971651,36.839782212777727,12,ST0011,3475129.72007,12222697.4868,1737482,16,ST1001
-75.970511406714138,36.834921453798032,13,ST0006,3473370.31813,12223106.5714,1737483,16,S0003
-75.979624134348541,36.868213021108929,14,ST0039,3485415.6289,12220117.0372,1737484,16,ST32008
-75.979359962281379,36.867205216159654,15,ST0038,3485050.89629,12220204.0842,1737485,16,ST32007
-75.979111022048158,36.866281323986193,16,ST0037,3484716.58535,12220285.8632,1737486,16,ST32006
-75.9788498782018,36.86529906762064,17,ST0036,3484361.12806,12220371.78,1737487,16,ST32005
-75.97857558032473,36.864354011711583,18,ST0035,3484019.31309,12220461.184,1737488,16,ST32004
-75.978323944247322,36.863420279658293,19,ST0034,3483681.44283,12220543.8525,1737489,16,ST32003
-75.9780556776591,36.862428798365123,20,ST0033,3483322.68464,12220631.948,1737490,16,ST32002
-75.977779981105144,36.861439636491923,21,ST0032,3482964.82878,12220722.1961,1737491,16,ST32001
-75.977521081250387,36.860403506445031,22,ST0031,3482589.74791,12220807.9906,1737492,16,ST22010
-75.977273651085156,36.859500449813851,23,ST0030,3482263.01017,12220889.1383,1737493,16,ST22009
-75.97699442415211,36.858545761257496,24,ST0029,3481917.72965,12220980.0893,1737494,16,ST22008
-75.971507518888302,36.838808908207312,25,ST0010,0,0,1737495,16, 
-75.971278164623172,36.837848509409874,26,ST0009,0,0,1737496,16, 
-75.971025291565667,36.836835609948551,27,ST0008,0,0,1737497,16, 
-75.970775235624856,36.835898616233429,28,ST0007,0,0,1737498,16, 
-75.970235499056102,36.833932185461613,29,ST0005,0,0,1737499,16, 
-75.969994896985369,36.833032600212164,30,ST0004,0,0,1737500,16, 
-75.969725379043879,36.83203937303513,31,ST0003,0,0,1737501,16, 
-75.969262608332031,36.830382269093391,32,ST0001,0,0,1737502,16, 
-75.969453183224616,36.831073277307951,33,ST0002,0,0,1737503,16, 
-75.972587301046318,36.84306851103802,34,ST0014,0,0,1737504,16, 
-75.973012045173917,36.844588830919179,35,ST0015,0,0,1737505,16, 
-75.973282698585862,36.845550590022413,36,ST0016,0,0,1737506,16, 
-75.973561683872063,36.846529699945755,37,ST0017,0,0,1737507,16, 
-75.973899082109639,36.847733307914048,38,ST0018,0,0,1737508,16, 
-75.974103947401744,36.848478992834572,39,ST0019,0,0,1737509,16, 
-75.970741362850475,36.835734051289322,40,J0090,3473664.26348,12223031.3713,1736442,16,POINT00015
-75.970725258752339,36.8356741607749,41,J0089,3473642.59236,12223036.6668,1736443,16,POINT00014
-75.970708859108512,36.835611523730556,42,J0088,3473619.92387,12223042.0755,1736444,16,POINT00013
-75.970692330107298,36.835551009049773,43,J0087,3473598.02893,12223047.5013,1736445,16,POINT00012
-75.970675757986939,36.835487127357361,44,J0086,3473574.90893,12223052.9725,1736446,16,POINT00011
-75.970661499926734,36.835427045401985,45,J0085,3473553.15348,12223057.7297,1736447,16,POINT00010
-75.970642935343093,36.835362815621238,46,J0084,3473529.92245,12223063.7873,1736448,16,POINT00008
-75.970629457020564,36.835305247113595,47,J0083,3473509.07588,12223068.2921,1736449,16,POINT00007
