OBJECTID,NAME,TYPE,SHAPEarea,SHAPElen
1,Old Beach,OB,6068.62009357028,334.369255823586
2,Old Beach,OB,7057.34101242003,373.10694252109
3,Old Beach,OB,7127.23565597175,374.787732664218
4,Old Beach,OB,7353.81241041599,381.885828013069
5,Old Beach,OB,7272.59854775088,380.300440276813
6,Old Beach,OB,2756.73484978112,220.997047910935
7,Old Beach,OB,9086.51393162867,402.498197733089
8,Old Beach,OB,3006.77038805843,219.293259553676
9,Old Beach,OB,9606.12478411261,480.594647612066
10,Old Beach,OB,9483.54472740027,479.724516017015
11,Old Beach,OB,9429.26178257875,480.358699778792
12,Old Beach,OB,3313.38742331989,236.280462793036
13,Old Beach,OB,6610.28716326567,327.027148488793
14,Old Beach,OB,3330.05103243899,236.845724910438
15,Old Beach,OB,3309.82729576626,235.596232263329
16,Old Beach,OB,6577.96964021385,326.023947489081
17,Old Beach,OB,3314.113922245,236.189825970984
18,Old Beach,OB,10016.6157784521,485.518330480966
19,Old Beach,OB,10139.8576786493,487.293850492618
20,Old Beach,OB,10119.8177048679,485.815540038413
21,Old Beach,OB,10128.0420947207,485.269856215815
22,Old Beach,OB,5101.05982386921,297.515653803362
23,Old Beach,OB,528.632464128764,129.101368291364
24,Old Beach,OB,7448.52157695765,503.70538656886
25,Old Beach,OB,1118.58851687026,155.379468569536
26,Old Beach,OB,9731.33198805,493.177699103908
27,Old Beach,OB,20447.6465905582,902.857700485758
28,Old Beach,OB,10188.6239434013,486.453503222995
29,Old Beach,OB,9948.87737334787,484.869647805797
30,Old Beach,OB,10219.7797677819,426.765729085362
31,Old Beach,OB,3314.75425480252,236.500153686542
32,Old Beach,OB,3308.90272361489,233.248447117334
33,Old Beach,OB,10156.5511608974,495.591086717153
34,Old Beach,OB,9350.25822210577,476.359853689539
35,Old Beach,OB,9291.50244902752,477.810294324578
36,Old Beach,OB,9470.95153149036,478.848355230899
37,Old Beach,OB,9608.4514327311,482.718614487039
38,Old Beach,OB,9516.72963822325,482.63311195164
39,Old Beach,OB,9498.34558166492,481.655192100997
40,Old Beach,OB,20278.0302010072,593.931205606589
41,Old Beach,OB,10127.6322809504,487.18721009122
42,Old Beach,OB,10165.1699334623,488.145203966564
43,Old Beach,OB,10192.2423256346,483.775104285607
44,Old Beach,OB,36967.3218448884,1186.43418387766
45,Old Beach,OB,9450.16826212197,441.835740046472
46,Old Beach,OB,31518.057816239,887.628955313741
47,Old Beach,OB,69518.6911354561,1191.86904414016
