Counties,Total Sites,Real-Time,Continuous,Periodic,Springs
Accomack County,46,9,-,37,-
Albemarle County,1,-,-,1,-
Appomattox County,2,1,-,1,-
Arlington County,1,-,-,1,-
Augusta County,6,1,-,5,-
Bath County,1,1,-,-,-
Bedford County,4,4,-,-,-
Brunswick County,1,1,-,-,-
Buchanan County,1,1,-,-,-
Buckingham County,1,1,-,-,-
Caroline County,3,-,-,3,-
Charles City County,2,-,-,2,-
Chesterfield County,3,-,-,3,-
Clarke County,5,2,1,2,-
Craig County,1,1,-,-,-
Cumberland County,1,1,-,-,-
Essex County,1,-,-,1,-
Fairfax County,4,1,-,3,-
Fauquier County,3,1,-,2,-
Frederick County,1,-,-,1,-
Gloucester County,6,-,-,6,-
Hanover County,6,4,-,2,-
Henrico County,6,-,-,6,-
Isle of Wight County,11,7,-,4,-
James City County,14,2,-,12,-
King and Queen County,4,-,-,4,-
King George County,2,-,-,2,-
King William County,6,4,-,2,-
Lancaster County,2,-,-,2,-
Loudoun County,4,2,-,2,-
Louisa County,2,-,-,2,-
Mathews County,5,-,-,5,-
Middlesex County,2,-,-,2,-
Montgomery County,1,1,-,-,-
New Kent County,12,9,-,3,-
Northampton County,27,2,-,25,-
Northumberland County,11,10,-,1,-
Nottoway County,1,1,-,-,-
Orange County,1,1,-,-,-
Page County,1,-,-,1,-
Patrick County,1,-,-,1,-
Prince George County,1,-,-,1,-
Prince William County,6,2,-,4,-
Pulaski County,2,-,-,2,-
Richmond County,1,-,-,1,-
Rockbridge County,1,1,-,-,-
Rockingham County,7,1,-,3,3
Shenandoah County,2,1,-,1,-
Southampton County,18,7,-,11,-
Stafford County,1,-,-,1,-
Surry County,9,4,-,5,-
Sussex County,8,7,-,1,-
Westmoreland County,4,3,-,1,-
Wise County,1,1,-,-,-
York County,16,3,-,13,-
Chesapeake city,24,4,1,19,-
Colonial Heights city,1,1,-,-,-
Franklin city,3,2,1,-,-
Newport News city,8,6,-,2,-
Norfolk city,1,-,-,1,-
Portsmouth city,2,-,-,2,-
Roanoke city,1,1,-,-,-
Suffolk city,36,8,-,28,-
Virginia Beach city,62,17,12,33,-
Number of active VA wells & springs:,428,137,15,273,3
