OBJECTID_1,BROOK,BROWN,RAINBOW,REACHCODE,NAME,CLASS,TYPE,USGS_HUC
1001,Y, , ,10POM-01,Porters Mill Creek,III, ,2080201
1002, , , ,10POT-01,Potts Creek,V, ,2080201
1003,Y, , ,10PRC-01,Peters Creek,IV, ,2080203
1004,Y, , ,10PRG-01,Pond Ridge Branch,II, ,2080204
1005,Y, , ,10PRN-01,"Piney River, NF",I, ,2080203
1006,Y, , ,10PRS-01,"Piney River, SF",II, ,2080203
1007, , , ,10PRS-01T,"Piney River, SF",II,tributary,2080203
1008, , ,Y,10PTY-01,Pheasanty Run,II, ,2080201
1009,Y, , ,10PVB-01,Piney Branch,II, ,2080202
1010,Y, , ,10PXT-01,Paxton Branch,II, ,2080201
1011,Y, , ,10RAM-01,Ramseys Draft,IV, ,2080202
1012,Y, , ,10RBT-01,Roberts Creek,III, ,2080203
1013,Y, , ,10RCK-01,Rock Branch,IV, ,2080202
1014,Y, , ,10RCN-01,Rocky Run,II, ,2080203
1015, , , ,10RCN-01T,Rocky Run,II,tributary,2080203
1016,Y, , ,10RDL-01,"Ramseys Draft, L. Prong",IV, ,2080202
1017,Y, , ,10RED-01,Reed Creek,II, ,2080203
1018,Y, , ,10RES-01,Reservoir Hollow,II, ,2080202
1019, , , ,10RES-01T,Reservoir Hollow,II,tributary,2080202
1020,Y, , ,10REU-01,Reubens Draft,IV, ,2080202
1021,Y, , ,10RFS-01,"Rockfish River, SF",II, ,2080203
1022, , , ,10RFS-02,"Rockfish River, SF",VI, ,2080203
1023, , , ,10RGR-01,Roaring Run,V, ,2080201
1024,Y, , ,10RKY-01,Rocky Branch,II, ,2080203
1025,Y, , ,10ROD-01,Rodes Creek,II, ,2080203
1026,Y, , ,10ROR-01,Rocky Run,II, ,2080201
1027,Y, , ,10ROY-01,Rocky Creek,II, ,2080201
1028, , , ,10ROY-01T,Rocky Creek,II,tributary,2080201
1029,Y, , ,10RRP-01,"Ramseys Draft, R. Prong",IV, ,2080202
1030, , , ,10RRW-01,Rocky Row Run,VI, ,2080203
1031,Y, , ,10SAW-01,Sawmill Run,II, ,2080201
1032,Y, ,Y,10SBF-01,South Buffalo Creek,II, ,2080202
1033, , , ,10SBF-01T,South Buffalo Creek,II,tributary,2080202
1034,Y, , ,10SFR-01,Swift Run,III, ,2080204
1035, , , ,10SFR-01T,Swift Run,III,tributary,2080204
1036,Y, , ,10SGC-01,Sugertree Branch,II, ,2080202
1037,Y, , ,10SGX-01,Sugar Run,II, ,2080201
1038, , , ,10SGX-01T,Sugar Run,II,tributary,2080201
1039,Y, , ,10SHO-01,Shoe Creek,I, ,2080203
1040, , , ,10SHO-01T,Shoe Creek,I,tributary,2080203
1041,Y, , ,10SHV-01,Shawvers Run,II, ,2080201
1042, , , ,10SHV-01T,Shawvers Run,II,tributary,2080201
1043, , , ,10SHW-01,Shaws Fork,VI, ,2080201
1044,Y, , ,10SIN-01,Spring Run,II, ,2080201
1045,Y, , ,10SKG-01,Sinking Creek,II, ,2080201
1046, , , ,10SKG-01T,Sinking Creek,II,tributary,2080201
1047,Y, , ,10SLV-01,Silver Creek,III, ,2080203
1048, , , ,10SMH-01,Smith Creek,V, ,2080201
1049,Y, , ,10SMH-02,Smith Creek,II, ,2080201
1050, , , ,10SMH-02T,Smith Creek,II,tributary,2080201
1051,Y, , ,10SMI-01,Smith Creek,IV, ,2080202
1052,Y, , ,10SMR-01,St. Marys River,II, ,2080202
1053, , , ,10SMR-01T,St. Marys River,II,tributary,2080202
1054,Y, , ,10SMR-02,St. Marys River,I, ,2080202
1055,Y,Y, ,10SMT-01,Smith Branch,II, ,2080201
1056,Y, , ,10SNM-01,Stony Run,III, ,2080201
1057, , , ,10SNM-01T,Stony Run,III,tributary,2080201
1058,Y, , ,10SNQ-01,Stony Run,II, ,2080201
1059,Y, , ,10SNR-01,Snake Run,II, ,2080201
1060,Y, , ,10SPC-01,Spruce Creek,II, ,2080203
1061, , ,Y,10SPI-01,Spring Branch,II, ,2080201
1062, , ,Y,10SPN-01,Simpson Creek,II, ,2080201
1063, , , ,10SPN-01T,Simpson Creek,II,tributary,2080201
1064,Y, , ,10SPT-01,Saltpeter Branch,II, ,2080201
1065, , ,Y,10SRC-01,Statons Creek,II, ,2080203
1066,Y, , ,10SRN-01,"Spy Run, NF",II, ,2080202
1067, , , ,10SSB-01,Spreading Spring Branch,VI, ,2080201
1068, , , ,10SSC-01,Sweet Springs Creek,V, ,2080201
1069,Y, , ,10STC-01,Stony Creek,II, ,3010101
1070, , , ,10STC-01T,Stony Creek,II,tributary,3010101
1071,Y, , ,10STL-01,Still Run,IV, ,2080202
1072,Y, , ,10STN-01,Sartain Branch,II, ,2080201
1073,Y, , ,10SUR-01,Spy Run,II, ,2080202
1074,Y, , ,10SYC-01,Stony Creek,II, ,2080203
1075, , , ,10SYC-01T,Stony Creek,II,tributary,2080203
1076,Y,Y,Y,10TCC-01,Trout Creek,III, ,2080201
1077, , , ,10TCC-01T,Trout Creek,III,tributary,2080201
1078,Y, , ,10TMP-01,Thompson Creek,III, ,2080201
1079,Y, , ,10TNO-01,"Thrashers Creek, NF",III, ,2080203
1080,Y, , ,10TRC-01,Trout Run,II, ,2080201
1081,Y, , ,10TRO-01,Trout Branch,IV, ,2080202
1082, , , ,10TRR-01,Terrapin Creek,VI, ,2080203
1083, , , ,10TYC-01,Tygers Creek,VII, ,2080201
1084, , , ,10TYE-01,Tye River,VI, ,2080203
1085,Y, , ,10TYN-01,"Tye River, NF",II, ,2080203
1086, , , ,10TYN-01T,"Tye River, NF",II,tributary,2080203
1087,Y, , ,10TYS-01,"Tye River, SF",II, ,2080203
1088, , , ,10TYS-01T,"Tye River, SF",II,tributary,2080203
1089,Y, , ,10VIN-01,Vinegar Run,II, ,2080201
1090,Y, , ,10WAR-01,War Spur Branch,II, ,2080201
1091,Y, , ,10WAT-01,Waterfall Branch,II, ,2080201
1092,Y, , ,10WGG-01,Wigwam Creek,II, ,2080202
1093,Y, , ,10WHB-01,White Rock Creek,II, ,2080203
1094,Y, , ,10WHL-01,Wheelers Run,II, ,2080203
1095, , , ,10WHL-01T,Wheelers Run,II,tributary,2080203
1096,Y, , ,10WID-01,Wildlcat Hollow,III, ,2080201
1097,Y, ,Y,10WIG-01,Wiggins Branch,II, ,2080203
1098,Y, , ,10WLN-01,Wilson Creek,II, ,2080201
1099, , , ,10WLN-01T,Wilson Creek,II,tributary,2080201
1100,Y, , ,10WNL-01,"Wilson Creek, LP",II, ,2080201
1101, , , ,10WNL-01T,"Wilson Creek, LP",II,tributary,2080201
1102,Y, , ,10WRR-01,White Rock Run,IV, ,2080202
1103,Y, , ,12ARA-01,Ararat River,II, ,3040101
1104, , , ,12CLA-01,Clarks Creek,VII, ,3040101
1105, , ,Y,12ELK-01,Elk Spur Branch,III, ,3040101
1106, , ,Y,12JEF-01,"Johnson Creek, EF",III, ,3040101
